146
 SCF done       -271.659492670443          0.233985908123
C          -1.46127832993825  -30.51887072635138   -3.50134087100363
C          -2.55706127419235  -30.11238437414319   -4.32498645651987
C          -2.76535795665850  -30.79834145216577   -5.53522696374986
C          -1.93880488619945  -31.84137952537530   -5.90109556297184
C          -0.87445893404966  -32.23434300893313   -5.08374318159021
C          -0.63232090154324  -31.58026372875703   -3.89905692961914
F          -0.08322124964457  -33.25317292887672   -5.44836370294971
F          -2.16322350827228  -32.48705373663541   -7.05342663995388
C          -3.41422522479044  -29.05803703947829   -3.91435392070889
C          -3.19722846136157  -28.43217626416537   -2.70290106573186
C          -3.92625964632253  -27.39560354067857   -1.92012462089646
C          -5.26626895842486  -27.14986237147591   -2.01224711754982
C          -5.99804165910033  -26.46067460515734   -1.00906216155099
N          -6.61345956301007  -25.96943465981867   -0.17754870408492
C          -6.06986581933657  -27.68378419170288   -3.05151898339053
N          -6.71113649267958  -28.10904371914278   -3.90003066357467
H          -3.52303575657611    1.88970223787911   -2.57466882063367
H          -2.43135019434848   -2.64270786827834   -4.25980192211513
H          -5.26132558300903    0.92436744000189   -1.06905822476790
H          -4.26815280114677   -3.61595830245474   -2.88252468366537
H          -7.85604703086809   -3.03354864198318    2.09498607601651
H          -5.44863715349315   -5.23991968091498    2.31612874211633
H          -4.16628853919658   -9.44275055234675    4.46132757291669
H          -1.80851344393349   -8.50302480213866    5.02419727505865
H          -0.67988901827178   -5.86746819004400    4.54715855920624
H          -0.93622547891979   -5.32443499131570    2.88915250615554
H           0.02587341224383   -6.77349238663570    3.20370075914759
H          -9.52504225524059   -7.48957974749981   -1.31278290405476
H         -11.76345593819837   -8.53109306038986   -2.12090935047329
H         -13.59250185663793  -10.51031154122367   -0.87397252899586
H         -12.64595949854793  -11.84864896922602   -0.20658231906637
H         -12.51742625255519  -11.44466736285725   -1.91755122733744
H          -8.14286216941464  -11.76745040311608    0.52259821308888
H          -6.94248930238049  -13.73044163762260   -0.33414795110017
H          -6.59679175696235  -16.10518154475910   -0.53529366351456
H          -4.19569664552055  -16.16316786854623    6.88057812496593
H          -2.92448020278676  -16.70696454313994    5.77584121772222
H          -4.45853267807680  -17.57393065434646    5.85048370331945
H          -4.23130711330814  -12.50145443011532    5.88532302371495
H          -3.17158324758567  -13.84378800235738    6.32923405457472
H          -4.82853288947144  -13.78643692676185    6.94367587117983
H          -5.92592934337975  -18.22891352561250   -0.87989751100372
H          -7.41297414236196  -19.75157104669111   -1.89260797661325
H          -7.64735455853044  -19.68074385468277   -4.48587105140706
H          -6.57448831417414  -21.09368310266357   -6.61106250312601
H          -5.08349597803619  -21.97441091630476   -6.27304181417705
H          -5.03833006139806  -20.22444617603419   -6.50006638926988
H          -2.59647721216962  -19.69164947285282    3.72031931851904
H          -1.86860760005807  -20.62361558838458    6.03347329301552
