NFA,smiles
62_48_48_48_62,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C=CC=C2)C1=C(C#N)C#N
69_11_11_11_69,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC(=C3)Br)C(=O)C1=CC1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC(=C3)Br
69_48_48_48_69,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC(=C3)Br)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC(=C3)Br
70_48_48_48_70,C1(=C(C(=C(C#N)C#N)SC1=O)C#N)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
76_48_48_48_76,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)Cl)Cl
78_11_11_11_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
78_15_15_15_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
78_18_18_18_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23)C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23)C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
78_20_20_20_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=CC2=C(S1)C1=C(N2C)C=C(S1)C1=CC2=C(S1)C1=C(N2C)C=C(S1)C1=CC2=C(S1)C1=C(N2C)C=C(S1)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
78_30_30_30_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
