Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
78_48_21_48_78,-7.47,-7.37,-3.46,-3.26,3.91,0.1,0.2,12970.7,770.9684134,0.103936094,-5687.7918,5.39575,8.810993866,0.103936094,0.103936094,1.608107386,12970.7,1.608107386,12970.7,15.72143506
97_48_5_48_97,-7.84,-6.91,-4.09,-3.05,2.82,0.93,1.04,7563.9,1322.069303,0.661146201,-5044.354993,1.75684,7.280922175,0.661146201,0.661146201,0.937772322,7563.9,0.937772322,7563.9,17.14617634
54_5_26_5_54,-6.61,-6.4,-2.46,-1.95,3.94,0.21,0.51,17235.3,580.2045801,1.491360664,-8269.70859,1.69311,6.201301788,1.491360664,1.491360664,2.136832494,17235.3,2.136832494,17235.3,12.59593906
90_5_28_5_90,-6.75,-6.44,-3.31,-2.53,3.13,0.31,0.78,10577.4,945.411916,0.947321932,-9351.273779,6.05726,9.660391014,0.947321932,0.947321932,1.311386052,10577.4,1.311386052,10577.4,17.78460493
78_30_26_30_78,-6.66,-6.46,-2.8,-2.58,3.66,0.2,0.22,15182.3,658.6617311,1.54774223,-7431.959572,7.27396,9.172684791,1.54774223,1.54774223,1.882301554,15182.3,1.882301554,15182.3,16.64498346
90_5_30_5_90,-6.83,-6.63,-2.8,-2.65,3.83,0.2,0.15,16870.1,592.7647139,1.758426048,-9288.291031,8.90628,9.718309207,1.758426048,1.990157952,2.091554998,16870.1,2.656482266,21426.7,17.39630828
78_36_28_36_78,-6.89,-6.57,-2.66,-2.4,3.91,0.32,0.26,17624.7,567.3855442,0.246627954,-5189.225903,8.61633,8.0023717,0.246627954,0.807558522,2.185110306,17624.7,2.34737533,18933.5,15.54406233
90_35_28_35_90,-7.53,-6.81,-3.23,-2.55,3.58,0.72,0.68,13215.2,756.704401,1.28098421,-6188.356452,8.06603,7.686747871,1.28098421,1.28098421,1.638420496,13215.2,1.638420496,13215.2,16.81144832
90_5_10_5_90,-6.78,-6.53,-2.78,-2.58,3.75,0.25,0.2,16009.7,624.6213233,1.245035185,-9066.651419,8.59781,9.459493144,1.245035185,1.245035185,1.984882606,16009.7,1.984882606,16009.7,17.25266856
78_56_28_56_78,-7.46,-6.68,-3.55,-2.68,3.13,0.78,0.87,10170.8,983.2068274,1.198000281,-7232.476865,5.77049,7.20577665,1.198000281,1.198000281,1.260975784,10170.8,1.260975784,10170.8,16.40445095
78_35_28_35_78,-7.63,-6.91,-3.37,-2.66,3.54,0.72,0.71,13062.2,765.5678217,1.488033596,-6584.916863,6.265,8.035049922,1.488033596,1.488033596,1.619451556,13062.2,1.619451556,13062.2,17.29106024
78_37_1_37_78,-7.91,-7.2,-2.77,-2.56,4.43,0.71,0.21,19857.9,503.5779211,1.639309095,-3550.43731,3.41521,5.452414495,1.639309095,1.639309095,2.461982442,19857.9,2.461982442,19857.9,13.69222126
33_5_28_5_33,-6.82,-6.5,-3.35,-2,3.15,0.32,1.35,10570.4,946.0379929,0.732252954,-8475.235064,3.37334,6.483422881,0.732252954,0.732252954,1.310518192,10570.4,1.310518192,10570.4,13.45246981
78_30_28_30_78,-6.6,-6.28,-3.32,-2.58,2.96,0.32,0.74,9498.3,1052.819978,0.961156152,-7909.954266,4.88025,9.657254231,0.961156152,0.961156152,1.177599234,9498.3,1.177599234,9498.3,17.82283558
90_15_28_15_90,-7.35,-6.51,-3.41,-2.46,3.1,0.84,0.95,10109.6,989.1588193,1.215917895,-5791.833729,10.02786,7.700059058,1.215917895,1.215917895,1.253388208,10109.6,1.253388208,10109.6,17.34037783
78_35_15_35_78,-7.73,-7.19,-2.92,-2.74,4.27,0.54,0.18,19206.7,520.6516476,2.433560932,-5726.976314,4.1869,7.346890158,2.433560932,2.433560932,2.381246666,19206.7,2.381246666,19206.7,15.57756425
90_20_28_20_90,-7.02,-6.17,-3.3,-2.27,2.87,0.85,1.03,8600.2,1162.763657,1.21319546,-5184.776005,13.325,7.586473119,1.21319546,1.21319546,1.066252796,8600.2,1.066252796,8600.2,17.22651999
78_15_28_15_78,-7.44,-6.58,-3.46,-2.6,3.12,0.86,0.86,10073.9,992.6642115,1.061642774,-6188.37933,7.24559,7.6722686,1.061642774,1.061642774,1.248962122,10073.9,1.248962122,10073.9,17.38721036
90_30_28_30_90,-6.52,-6.21,-3.23,-2.45,2.98,0.31,0.78,9568.6,1045.084965,0.884048832,-7513.40355,9.5411,9.681768438,0.884048832,0.884048832,1.186315028,9568.6,1.186315028,9568.6,17.81404164
3_30_28_30_3,-6.56,-6.25,-3.31,-2.48,2.94,0.31,0.83,9409,1062.812201,0.9001376,-7847.998267,6.3905,8.822861205,0.9001376,0.9001376,1.16652782,9409,1.16652782,9409,16.63132638
90_11_28_11_90,-6.69,-6.31,-3.21,-2.43,3.1,0.38,0.78,10352.1,965.9875774,1.131340338,-6230.435382,8.70873,9.422476374,1.131340338,1.131340338,1.283453358,10352.1,1.283453358,10352.1,17.75484647
78_5_28_5_78,-6.81,-6.5,-3.42,-2.68,3.08,0.31,0.74,10366.5,964.6457339,1.017975879,-9747.825964,6.50739,9.560475766,1.017975879,1.017975879,1.28523867,10366.5,1.28523867,10366.5,17.64702163
78_11_1_11_78,-6.82,-6.47,-2.74,-2.57,3.73,0.35,0.17,15886,629.4850812,1.508124785,-6121.897609,8.40406,8.409234672,1.508124785,1.508124785,1.96954628,15886,1.96954628,15886,16.23196265
78_30_25_30_78,-6.66,-6.6,-2.8,-2.72,3.8,0.06,0.08,15177.4,658.874379,0.230394883,-7586.278583,6.75028,9.383779923,0.230394883,0.442397319,1.881694052,15177.4,1.978435646,15957.7,16.33996146
78_11_28_11_78,-6.79,-6.39,-3.28,-2.57,3.11,0.4,0.71,10442.8,957.5975792,1.10766708,-6626.980465,7.39712,9.300548013,1.10766708,1.10766708,1.294698344,10442.8,1.294698344,10442.8,17.67205112
90_56_30_56_90,-7.37,-6.78,-2.81,-2.63,3.97,0.59,0.18,17598.7,568.2237893,3.259596624,-6772.936098,9.69679,7.456283358,3.259596624,3.259596624,2.181886826,17598.7,2.181886826,17598.7,15.94094869
78_30_1_30_78,-6.62,-6.35,-2.77,-2.6,3.58,0.27,0.17,14711.6,679.7357188,1.239726911,-7404.872986,7.70055,9.36233529,1.239726911,1.344710237,1.823944168,14711.6,2.473487786,19950.7,17.2039822
90_30_30_30_90,-6.62,-6.41,-2.69,-2.54,3.72,0.21,0.15,16050.7,623.025787,1.604797758,-7450.416199,9.28605,9.67485984,1.604797758,1.997385623,1.989965786,16050.7,2.613783554,21082.3,17.3790285
47_5_28_5_47,-6.6,-6.26,-3.04,-1.29,3.22,0.34,1.75,10889.5,918.3158088,0.665744605,-8206.766492,2.10384,6.392916985,0.665744605,0.665744605,1.35008021,10889.5,1.35008021,10889.5,13.41294319
78_21_1_21_78,-7.59,-6.78,-2.78,-2.32,4,0.81,0.46,16520,605.3268765,1.534800855,-4705.614834,4.7558,5.977259308,1.534800855,1.534800855,2.0481496,16520,2.0481496,16520,14.84043257
90_30_40_30_90,-6.56,-6.34,-2.65,-2.42,3.69,0.22,0.23,15352.9,651.3427431,1.363662957,-9132.932978,8.17258,9.067068238,1.363662957,1.363662957,1.903452542,15352.9,1.903452542,15352.9,16.58464947
18_5_28_5_18,-6.72,-6.4,-3.27,-2.34,3.13,0.32,0.93,10478.4,954.3441747,0.88686786,-9351.268003,9.12016,9.168287119,0.88686786,0.88686786,1.299112032,10478.4,1.299112032,10478.4,17.14952787
90_30_26_30_90,-6.58,-6.35,-2.61,-2.49,3.74,0.23,0.12,15680.8,637.7225652,0.831680369,-7035.407834,3.93137,9.510547237,0.831680369,0.831680369,1.944105584,15680.8,1.944105584,15680.8,17.23787005
90_30_1_30_90,-6.57,-6.37,-2.65,-2.47,3.72,0.2,0.18,16039.9,623.4452833,1.39763284,-7008.337366,6.29404,9.217405524,1.39763284,1.744995504,1.988626802,16039.9,2.596277578,20941.1,16.70656391
45_14_0_14_45,-7.08,-6.16,-3.02,-2.56,3.14,0.92,0.46,10192.7,981.0943126,1.181919907,-9227.596941,7.60252,7.481745275,1.181919907,1.181919907,1.263690946,10192.7,1.263690946,10192.7,17.38015975
52_48_5_48_52,-7.67,-6.81,-4.07,-3.08,2.74,0.86,0.99,7161.1,1396.433509,0.764118564,-6146.207241,10.61395,9.885062789,0.764118564,0.764118564,0.887833178,7161.1,0.887833178,7161.1,20.43422796
78_48_16_48_78,-7.65,-6.9,-3.36,-3.17,3.54,0.75,0.19,12217,818.5315544,0.805514381,-5346.053396,8.46251,8.648968226,0.805514381,1.771102989,1.51466366,12217,2.343544348,18902.6,18.26407575
52_48_0_48_52,-7.59,-6.66,-3.52,-3.09,3.14,0.93,0.43,9819.4,1018.392162,1.002696652,-6078.986967,16.58971,9.687037981,1.002696652,1.002696652,1.217409212,9819.4,1.217409212,9819.4,20.4593978
0_48_0_48_0,-8.07,-7.12,-4.01,-3.54,3.11,0.95,0.47,9882.4,1011.899943,1.176072016,-5499.081513,3.17723,9.300122845,1.176072016,1.176072016,1.225219952,9882.4,1.225219952,9882.4,20.01171566
88_48_5_48_88,-7.88,-7.01,-4.25,-3.29,2.76,0.87,0.96,7339.1,1362.564892,0.745166303,-15491.26756,5.30991,9.883966639,0.745166303,0.745166303,0.909901618,7339.1,0.909901618,7339.1,20.47526856
45_48_8_48_45,-7.54,-6.89,-3.26,-3.03,3.63,0.65,0.23,12925.6,773.6584762,0.783940089,-4814.248666,8.16113,9.221740675,0.783940089,1.393354194,1.602515888,12925.6,2.389168988,19270.6,18.62728341
88_54_0_54_88,-7.3,-6.36,-3.3,-2.77,3.06,0.94,0.53,9887.4,1011.388231,1.380983942,-15136.52578,7.82728,6.722967698,1.380983942,1.380983942,1.225839852,9887.4,1.225839852,9887.4,16.42042302
0_38_23_38_0,-7.01,-6.68,-3.65,-3.03,3.03,0.33,0.62,9951.2,1004.903931,1.060016035,-6762.963428,9.04996,8.444052484,1.060016035,1.060016035,1.233749776,9951.2,1.233749776,9951.2,16.19480677
69_48_0_48_69,-7.64,-6.7,-3.55,-3.1,3.15,0.94,0.45,10092.4,990.8445959,1.134263489,-11225.71263,4.80678,9.152312806,1.134263489,1.134263489,1.251255752,10092.4,1.251255752,10092.4,19.76563124
90_16_28_16_90,-7.32,-6.97,-2.69,-2.16,4.28,0.35,0.53,16588.2,602.8381621,0.582194861,-3711.140562,7.50135,6.05521531,0.582194861,0.582194861,2.056605036,16588.2,2.056605036,16588.2,12.99047798
69_48_23_48_69,-7.53,-6.62,-3.66,-2.92,2.96,0.91,0.74,9110.2,1097.670743,1.181733605,-11108.69274,8.63915,9.467394172,1.181733605,1.181733605,1.129482596,9110.2,1.129482596,9110.2,20.07184828
69_48_5_48_69,-7.72,-6.86,-4.11,-3.12,2.75,0.86,0.99,7199.1,1389.062522,0.775345514,-11292.93325,9.69355,10.01670408,0.775345514,0.775345514,0.892544418,7199.1,0.892544418,7199.1,20.61549802
88_10_5_10_88,-7.88,-7.29,-3.62,-3.03,3.67,0.59,0.59,13535.2,738.8143507,0.928299431,-14766.54591,8.61526,5.982064311,0.928299431,0.928299431,1.678094096,13535.2,1.678094096,13535.2,13.91094906
7_48_0_48_7,-7.64,-6.55,-3.27,-2.86,3.28,1.09,0.41,10819.8,924.2315015,0.734144012,-4482.856415,8.05086,5.78887503,0.734144012,0.734144012,1.341438804,10819.8,1.341438804,10819.8,15.77242742
0_48_5_48_0,-8.15,-7.27,-4.48,-3.56,2.79,0.88,0.92,7504.6,1332.516057,0.785149835,-5566.297511,10.97488,9.641735112,0.785149835,0.785149835,0.930420308,7504.6,0.930420308,7504.6,20.18426575
78_48_39_48_78,-7.74,-7.07,-3.5,-3.21,3.57,0.67,0.29,12999.3,769.2721916,1.194945445,-5208.533655,9.6377,8.957390338,1.194945445,1.631314106,1.611653214,12999.3,2.33237375,18812.5,18.348373
88_48_38_48_88,-7.83,-7.26,-3.55,-3.23,3.71,0.57,0.32,13811.1,724.0552889,1.158714699,-15153.57003,3.81751,8.351068404,1.158714699,1.158714699,1.712300178,13811.1,1.712300178,13811.1,17.08796769
0_3_5_3_0,-8.21,-7.21,-4.29,-3.21,2.92,1,1.08,8279.7,1207.773228,0.668369405,-4171.382746,14.02978,5.858165493,0.668369405,0.668369405,1.026517206,8279.7,1.026517206,8279.7,15.48489039
26_48_23_48_26,-7.21,-6.25,-3.29,-2.6,2.96,0.96,0.69,8917.5,1121.390524,0.855506725,-5156.359211,3.66518,6.273638892,0.855506725,0.855506725,1.10559165,8917.5,1.10559165,8917.5,15.88679726
69_48_28_48_69,-7.63,-6.78,-3.76,-3.03,3.02,0.85,0.73,9440.6,1059.254708,1.129226515,-11306.98887,11.68874,9.704834364,1.129226515,1.129226515,1.170445588,9440.6,1.170445588,9440.6,20.14350342
69_48_20_48_69,-7.83,-7.26,-3.55,-3.2,3.71,0.57,0.35,13833.5,722.8828568,1.123016156,-10632.22527,14.59133,9.032087765,1.123016156,1.123016156,1.71507733,13833.5,1.71507733,13833.5,18.02573135
29_48_0_48_29,-7.15,-6.19,-2.99,-2.62,3.2,0.96,0.37,10085,991.5716411,0.656836512,-4599.860015,9.48983,6.057556388,0.656836512,0.656836512,1.2503383,10085,1.2503383,10085,15.58925165
5_48_0_48_5,-7.41,-6.44,-3.21,-2.85,3.23,0.97,0.36,10190.3,981.3253781,0.67758905,-5357.441399,6.75246,6.500862849,0.67758905,0.67758905,1.263393394,10190.3,1.263393394,10190.3,16.24223465
79_48_5_48_79,-7.63,-6.71,-3.8,-2.9,2.91,0.92,0.9,8158.9,1225.655419,0.608200469,-6894.883539,13.98908,6.568966862,0.608200469,0.608200469,1.011540422,8158.9,1.011540422,8158.9,16.12326387
52_35_5_35_52,-7.66,-6.88,-3.72,-2.59,3.16,0.78,1.13,10006,999.4003598,0.949883248,-6815.809507,11.23561,7.923306203,0.949883248,0.949883248,1.24054388,10006,1.24054388,10006,17.39248914
52_46_5_46_52,-7.45,-6.79,-3.55,-2.28,3.24,0.66,1.27,9932.5,1006.795872,0.629364623,-5441.578901,12.10299,6.7967873,0.629364623,0.629364623,1.23143135,9932.5,1.23143135,9932.5,15.33067261
31_48_23_48_31,-6.9,-5.89,-2.87,-2.19,3.02,1.01,0.68,8899.4,1123.671259,0.699431081,-4719.317469,1.92059,6.739676525,0.699431081,0.699431081,1.103347612,8899.4,1.103347612,8899.4,16.74128108
69_8_5_8_69,-7.38,-6.86,-3.74,-2.44,3.12,0.52,1.3,8604.5,1162.182579,0.502611708,-11416.1323,12.22589,6.895367639,0.502611708,0.502611708,1.06678591,8604.5,1.06678591,8604.5,14.87071774
0_44_5_44_0,-8.39,-7.96,-3.87,-3.34,4.09,0.43,0.53,13613.8,734.5487667,0.232862601,-3365.103146,12.0395,5.685318971,0.232862601,0.420368269,1.687838924,13613.8,2.379882886,19195.7,12.82153073
21_48_28_48_21,-7.24,-6.47,-3.4,-2.78,3.07,0.77,0.62,9603.5,1041.287031,0.883385257,-7216.886362,2.29891,6.780674379,0.883385257,0.883385257,1.19064193,9603.5,1.19064193,9603.5,15.77653512
78_21_28_21_78,-7.45,-6.72,-3.14,-2.29,3.58,0.73,0.85,12799.3,781.2927269,1.087194098,-5210.689532,7.58155,6.834032065,1.087194098,1.087194098,1.586857214,12799.3,1.586857214,12799.3,15.67980866
0_48_23_48_0,-7.95,-7.03,-4.08,-3.34,2.95,0.92,0.74,9134.7,1094.726701,1.293306457,-5382.062898,10.98072,8.867896482,1.293306457,1.293306457,1.132520106,9134.7,1.132520106,9134.7,19.28888996
56_48_0_48_56,-7.83,-6.95,-3.74,-3.32,3.21,0.88,0.42,10305.3,970.3744675,0.974943446,-6424.568303,20.68792,7.046755274,0.974943446,0.974943446,1.277651094,10305.3,1.277651094,10305.3,16.61097851
27_48_0_48_27,-7.22,-6.52,-3.56,-3.08,2.96,0.7,0.48,8617.5,1160.429359,0.817517028,-5700.24213,7.06533,9.042205059,0.817517028,0.817517028,1.06839765,8617.5,1.06839765,8617.5,18.59281287
0_45_0_45_0,-7.57,-6.61,-3.48,-3,3.13,0.96,0.48,10335.3,967.5577874,1.364086432,-5714.320255,11.54147,6.76901018,1.364086432,1.364086432,1.281370494,10335.3,1.281370494,10335.3,16.56892352
79_11_28_11_79,-6.66,-6.22,-2.98,-1.38,3.24,0.44,1.6,10834.7,922.9604881,0.694585955,-7620.614017,1.42692,6.093833656,0.694585955,0.694585955,1.343286106,10834.7,1.343286106,10834.7,13.42660545
18_5_42_5_18,-6.69,-6.53,-2.67,-2.42,3.86,0.16,0.25,16016.6,624.3522346,0.946490931,-9165.776358,6.56051,8.990495082,0.946490931,0.946490931,1.985738068,16016.6,1.985738068,16016.6,16.22390823
78_20_20_20_78,-7.28,-6.67,-3.13,-2.54,3.54,0.61,0.59,13598.3,735.3860409,2.222484014,-4906.56852,9.441,7.018256827,2.222484014,2.222484014,1.685917234,13598.3,1.685917234,13598.3,15.42288615
90_45_28_45_90,-7.06,-6.2,-3.31,-2.33,2.89,0.86,0.98,8763.1,1141.14868,1.210956774,-5733.99056,6.86433,7.367021128,1.210956774,1.210956774,1.086449138,8763.1,1.086449138,8763.1,16.9668846
78_20_28_20_78,-7.11,-6.27,-3.4,-2.44,2.87,0.84,0.96,8741.9,1143.916082,1.219388674,-5581.321029,9.2473,7.559109124,1.219388674,1.219388674,1.083820762,8741.9,1.083820762,8741.9,17.14628977
78_25_28_25_78,-7.68,-6.77,-3.59,-2.58,3.18,0.91,1.01,10697.6,934.7891116,1.29068226,-5240.003515,7.32078,7.337622212,1.29068226,1.29068226,1.326288448,10697.6,1.326288448,10697.6,17.13915229
78_5_41_5_78,-7.02,-6.81,-2.92,-2.85,3.89,0.21,0.07,16456.1,607.6773962,0.72295944,-9362.821077,7.88155,9.200383219,0.72295944,0.72295944,2.040227278,16456.1,2.040227278,16456.1,16.72567419
40_25_28_25_40,-7.25,-6.2,-2.97,-1.19,3.23,1.05,1.78,10544.5,948.3617052,0.748927882,-3853.558349,6.23068,4.385321859,0.748927882,0.748927882,1.30730711,10544.5,1.30730711,10544.5,13.6695347
64_30_28_30_64,-6.3,-5.94,-2.88,-1.03,3.06,0.36,1.85,9752.2,1025.409651,0.569211775,-7104.199445,7.2691,6.394349276,0.569211775,0.569211775,1.209077756,9752.2,1.209077756,9752.2,13.50001546
90_11_30_11_90,-6.79,-6.52,-2.64,-2.5,3.88,0.27,0.14,17292.1,578.2987607,2.140847066,-6167.441351,5.2528,9.222349468,2.140847066,2.140847066,2.143874558,17292.1,2.143874558,17292.1,17.01122172
78_11_37_11_78,-6.9,-6.71,-2.66,-2.56,4.05,0.19,0.1,17813.8,561.3625392,1.304817107,-5935.266542,6.7452,8.751030444,1.304817107,1.304817107,2.208554924,17813.8,2.208554924,17813.8,16.02181542
78_6_28_6_78,-6.96,-6.68,-2.63,-2.51,4.05,0.28,0.12,17104.5,584.6414686,0.975910103,-5189.227525,5.11162,8.308095524,0.975910103,0.975910103,2.12061591,17104.5,2.12061591,17104.5,15.79484404
78_25_1_25_78,-7.69,-6.81,-2.96,-2.6,3.85,0.88,0.36,16248.9,615.426275,2.123460057,-4734.916754,7.33082,6.360723668,2.123460057,2.123460057,2.014538622,16248.9,2.014538622,16248.9,15.66631299
78_15_1_15_78,-7.45,-6.72,-2.89,-2.63,3.83,0.73,0.26,16662.1,600.1644451,3.095279628,-5683.306833,3.83062,6.938918943,3.095279628,3.095279628,2.065767158,16662.1,2.065767158,16662.1,15.82423789
90_61_28_61_90,-7.47,-7.15,-2.54,-2.36,4.61,0.32,0.18,19220.9,520.267001,0.436993875,-3711.108605,2.6985,5.21411944,0.436993875,0.436993875,2.383007182,19220.9,2.383007182,19220.9,11.70463897
78_15_10_15_78,-7.44,-6.8,-2.97,-2.61,3.83,0.64,0.36,16085.4,621.6817735,2.209377344,-5903.757586,5.50842,7.370988435,2.209377344,2.209377344,1.994267892,16085.4,1.994267892,16085.4,16.03624758
78_48_19_48_78,-7.72,-7.54,-3.59,-3.43,3.95,0.18,0.16,15022.9,665.6504403,0.403709778,-5284.673289,7.91561,10.00549062,0.403709778,0.403709778,1.862539142,15022.9,1.862539142,15022.9,17.70665708
