PCE,below18,above18
14.848258,14.848258,
14.850365,14.850365,
14.85125,14.85125,
14.856455,14.856455,
14.865477,14.865477,
14.865521,14.865521,
14.871116,14.871116,
14.877007,14.877007,
14.878794,14.878794,
14.884218,14.884218,
14.886835,14.886835,
14.890746,14.890746,
14.892432,14.892432,
14.893321,14.893321,
14.893831,14.893831,
14.897717,14.897717,
14.916163,14.916163,
14.91839,14.91839,
14.925065,14.925065,
14.933588,14.933588,
14.936696,14.936696,
14.945608,14.945608,
14.962456,14.962456,
14.963828,14.963828,
14.964856,14.964856,
14.980505,14.980505,
14.988844,14.988844,
14.989575,14.989575,
14.989659,14.989659,
14.989878,14.989878,
14.99641,14.99641,
15.019499,15.019499,
15.024092,15.024092,
15.035879,15.035879,
15.043177,15.043177,
15.04654,15.04654,
15.050534,15.050534,
15.053956,15.053956,
15.076052,15.076052,
15.081694,15.081694,
15.081747,15.081747,
15.08177,15.08177,
15.108108,15.108108,
15.109819,15.109819,
15.117141,15.117141,
15.118821,15.118821,
15.128202,15.128202,
15.135261,15.135261,
15.138597,15.138597,
15.140243,15.140243,
15.146372,15.146372,
15.15832,15.15832,
15.159556,15.159556,
15.161428,15.161428,
15.16496,15.16496,
15.165018,15.165018,
15.181834,15.181834,
15.182718,15.182718,
15.18802,15.18802,
15.190092,15.190092,
15.202259,15.202259,
15.203272,15.203272,
15.204011,15.204011,
15.205694,15.205694,
15.212925,15.212925,
15.214672,15.214672,
15.221478,15.221478,
15.225876,15.225876,
15.232875,15.232875,
15.238647,15.238647,
15.241216,15.241216,
15.248798,15.248798,
15.251916,15.251916,
15.26013,15.26013,
15.268911,15.268911,
15.27229,15.27229,
15.275012,15.275012,
15.28005,15.28005,
15.283277,15.283277,
15.286432,15.286432,
15.296751,15.296751,
15.311041,15.311041,
15.323744,15.323744,
15.32647,15.32647,
15.338003,15.338003,
15.342989,15.342989,
15.348097,15.348097,
15.354554,15.354554,
15.357468,15.357468,
15.358983,15.358983,
15.361597,15.361597,
15.362005,15.362005,
15.369363,15.369363,
15.372233,15.372233,
15.377345,15.377345,
