gen,min_PCE, max_PCE, med_PCE, min_deltaHOMO,max_deltaHOMO,med_deltaHOMO,min_summedoscs,max_summedoscs,med_summedoscs
77,13.175594,20.402845,19.052270,0.250000,1.540000,1.540000,6.498654,7.761037,6.780228
78,12.712919,20.402845,19.002265,0.320000,1.540000,1.630000,5.946349,7.761037,6.465808
79,11.668318,20.402845,19.052270,0.140000,1.540000,1.540000,5.743952,7.761037,6.780228
80,11.525234,20.402845,19.052270,0.240000,1.540000,1.540000,5.331037,7.761037,6.780228
81,11.426236,20.402845,19.052270,0.400000,1.540000,1.540000,4.764735,7.761037,6.780228
82,10.321175,20.402845,19.052270,0.040000,1.540000,1.540000,5.074640,7.761037,6.780228
83,11.878558,20.402845,19.052270,0.350000,1.540000,1.540000,5.247721,7.761037,6.780228
84,11.561046,20.402845,19.056511,0.240000,1.540000,1.380000,5.357044,7.761037,7.277716
85,12.228060,20.402845,19.056511,0.530000,1.540000,1.380000,4.945325,7.761037,7.277716
86,13.045396,20.402845,19.093856,0.310000,1.540000,1.550000,6.218700,7.761037,6.779528
87,12.044305,20.402845,19.056511,0.270000,1.540000,1.380000,5.615293,7.761037,7.277716
88,13.640966,20.402845,19.095565,0.410000,1.540000,1.720000,6.342208,7.761037,6.255460
89,7.345427,20.402845,19.154223,0.280000,1.540000,0.800000,2.171990,7.761037,9.140905
90,10.990026,20.402845,19.154223,0.420000,1.540000,0.800000,4.386151,7.761037,9.140905
91,12.826234,20.402845,19.180290,0.230000,1.540000,1.440000,6.306745,7.761037,7.182203
92,12.623233,20.402845,19.180290,0.340000,1.540000,1.440000,5.819416,7.761037,7.182203
93,11.381587,20.402845,19.180290,0.080000,1.540000,1.440000,5.721126,7.761037,7.182203
94,12.473652,20.402845,19.180290,0.600000,1.540000,1.440000,4.907375,7.761037,7.182203
95,8.023609,20.402845,19.196324,0.210000,1.540000,1.520000,2.880800,7.761037,6.946643
96,10.360897,20.402845,19.182324,0.540000,1.540000,1.520000,3.558461,7.761037,6.936476
97,12.031993,20.402845,19.182324,0.210000,1.540000,1.520000,5.791755,7.761037,6.936476
98,9.434073,20.402845,19.196324,0.320000,1.540000,1.520000,3.565197,7.761037,6.946643
99,10.237345,20.402845,19.182324,0.310000,1.540000,1.520000,4.179447,7.761037,6.936476
100,13.308615,20.402845,19.196324,0.410000,1.540000,1.520000,6.100849,7.761037,6.946643
101,8.498043,20.402845,19.182324,0.190000,1.540000,1.520000,3.287143,7.761037,6.936476
102,12.961489,20.402845,19.204353,0.490000,1.540000,1.740000,5.601556,7.761037,6.272663
103,12.013835,20.402845,19.196324,0.440000,1.540000,1.520000,5.067857,7.761037,6.946643
104,13.832836,20.402845,19.196324,0.690000,1.540000,1.520000,5.616332,7.761037,6.946643
105,13.702080,20.402845,19.196324,0.630000,1.540000,1.520000,5.706778,7.761037,6.946643
106,12.293440,20.402845,19.196324,0.410000,1.540000,1.520000,5.363612,7.761037,6.946643
107,10.863429,20.402845,19.196324,0.600000,1.540000,1.520000,3.738005,7.761037,6.946643
108,11.572168,20.402845,19.204353,0.670000,1.540000,1.740000,4.036399,7.761037,6.272663
109,8.111745,20.402845,19.243913,0.030000,1.540000,1.530000,3.501015,7.761037,6.950302
110,12.775051,20.402845,19.204353,0.370000,1.540000,1.740000,5.836968,7.761037,6.272663
111,13.604707,20.402845,19.204353,0.480000,1.540000,1.740000,6.099572,7.761037,6.272663
112,12.607115,20.402845,19.204353,0.370000,1.540000,1.740000,5.715010,7.761037,6.272663
113,11.051728,20.402845,19.217126,0.340000,1.540000,1.310000,4.678164,7.761037,7.610661
114,12.965198,20.402845,19.243913,0.360000,1.540000,1.530000,6.005956,7.761037,6.950302
115,14.592034,20.402845,19.243913,0.350000,1.540000,1.530000,7.218292,7.761037,6.950302
116,12.658899,20.402845,19.250599,0.640000,1.540000,1.660000,4.918302,7.761037,6.553451
117,11.426822,20.402845,19.250599,0.690000,1.540000,1.660000,3.869046,7.761037,6.553451
118,11.188423,20.402845,19.330666,0.070000,1.540000,1.550000,5.611748,7.761037,6.951503
119,11.647128,21.144257,19.344788,0.280000,1.240000,1.530000,5.295956,9.226478,7.023559
120,12.448861,21.144257,19.359379,0.360000,1.240000,1.260000,5.630984,9.226478,7.868469
121,12.464362,21.144257,19.359379,0.540000,1.240000,1.260000,5.086032,9.226478,7.868469
122,12.131786,21.144257,19.428175,0.760000,1.240000,1.510000,4.164698,9.226478,7.145918
123,12.720647,21.144257,19.430319,0.430000,1.240000,1.640000,5.612055,9.226478,6.745768
124,12.630417,21.144257,19.496178,0.050000,1.240000,1.570000,6.720748,9.226478,7.009900
125,13.505573,21.144257,19.492235,0.060000,1.240000,1.840000,7.325401,9.226478,6.172722
126,11.101701,21.144257,19.561969,0.230000,1.240000,1.390000,5.054360,9.226478,7.613887
127,11.113946,21.144257,19.592956,0.180000,1.240000,0.970000,5.217756,9.226478,8.934212
128,11.608833,21.144257,19.632808,0.480000,1.240000,1.340000,4.650136,9.226478,7.819834
129,13.188834,21.144257,19.708095,1.020000,1.240000,1.400000,4.128931,9.226478,7.689106
130,13.343306,21.144257,19.748073,0.120000,1.240000,1.360000,7.022157,9.226478,7.841740
131,12.432324,21.144257,19.918121,0.450000,1.240000,1.100000,5.340870,9.226478,8.768645
132,11.265144,21.144257,19.796776,0.010000,1.240000,1.380000,5.852866,9.226478,7.815308
133,11.490743,21.144257,19.918121,0.430000,1.240000,1.100000,4.718879,9.226478,8.768645
134,14.641672,21.144257,19.973110,0.990000,1.240000,1.330000,5.276707,9.226478,8.097867
135,10.052060,21.144257,19.961457,0.040000,1.240000,1.130000,4.879203,9.226478,8.707415
136,10.297646,21.144257,19.961457,0.380000,1.240000,1.130000,4.006935,9.226478,8.707415
137,13.970749,21.144257,19.973110,0.540000,1.240000,1.330000,6.179995,9.226478,8.097867
138,12.017118,21.144257,20.039941,0.700000,1.240000,1.130000,4.266828,9.226478,8.764411
139,12.245807,21.144257,20.042385,0.100000,1.240000,1.220000,6.286935,9.226478,8.488082
140,14.519073,21.144257,20.042385,1.270000,1.240000,1.220000,4.322459,9.226478,8.488082
141,11.786856,21.144257,20.042385,0.360000,1.240000,1.220000,5.150225,9.226478,8.488082
142,12.235709,21.144257,20.042385,0.380000,1.240000,1.220000,5.414388,9.226478,8.488082
143,15.370139,21.144257,20.107116,0.410000,1.240000,1.150000,7.597961,9.226478,8.751394
144,12.542685,21.144257,20.111378,0.630000,1.240000,1.290000,4.864806,9.226478,8.321882
145,13.898689,21.144257,20.134722,0.780000,1.240000,1.260000,5.386052,9.226478,8.431536
146,11.005668,21.144257,20.184734,0.680000,1.240000,1.290000,3.594097,9.226478,8.375154
147,11.889681,21.144257,20.184734,0.350000,1.240000,1.290000,5.255798,9.226478,8.375154
148,12.537998,21.144257,20.184734,0.850000,1.240000,1.290000,4.181592,9.226478,8.375154
149,11.086435,21.144257,20.213013,0.030000,1.240000,1.620000,5.661284,9.226478,7.375974
150,14.505806,21.144257,20.203011,0.740000,1.240000,1.540000,5.950552,9.226478,7.615915
151,10.173308,21.144257,20.203011,0.380000,1.240000,1.540000,3.916639,9.226478,7.615915
152,14.056257,21.144257,20.213013,1.100000,1.240000,1.620000,4.511663,9.226478,7.375974
153,12.219802,21.144257,20.203011,0.280000,1.240000,1.540000,5.711841,9.226478,7.615915
154,9.251400,21.144257,20.213013,0.210000,1.240000,1.620000,3.772443,9.226478,7.375974
155,11.842122,21.144257,20.203011,0.100000,1.240000,1.540000,5.993773,9.226478,7.615915
156,11.985578,21.144257,20.203011,0.330000,1.240000,1.540000,5.387241,9.226478,7.615915
157,11.486430,21.144257,20.213013,0.470000,1.240000,1.620000,4.592145,9.226478,7.375974
158,11.274729,21.144257,20.230298,0.450000,1.240000,1.090000,4.500205,9.226478,9.026254
159,12.904220,21.499579,20.230298,0.760000,1.830000,1.090000,4.725652,7.661389,9.026254
160,11.394600,21.499579,20.232337,0.370000,1.830000,1.130000,4.834462,7.661389,8.904132
161,14.084805,21.499579,20.232337,1.000000,1.830000,1.130000,4.841400,7.661389,8.904132
162,14.861577,21.499579,20.232337,0.540000,1.830000,1.130000,6.826928,7.661389,8.904132
163,13.951818,21.499579,20.232337,0.300000,1.830000,1.130000,6.907859,7.661389,8.904132
164,13.739137,21.499579,20.402224,0.370000,1.830000,1.400000,6.537103,7.661389,8.193194
165,12.521951,21.499579,20.402224,0.180000,1.830000,1.400000,6.240272,7.661389,8.193194
166,12.569561,21.499579,20.402845,0.770000,1.830000,1.540000,4.451717,7.661389,7.761037
167,16.257815,21.499579,20.402845,0.390000,1.830000,1.540000,8.304407,7.661389,7.761037
168,12.132171,21.499579,20.402224,0.310000,1.830000,1.400000,5.555500,7.661389,8.193194
169,13.728247,21.499579,20.402224,0.190000,1.830000,1.400000,7.085404,7.661389,8.193194
170,11.831981,21.499579,20.402845,0.330000,1.830000,1.540000,5.275697,7.661389,7.761037
171,13.846552,21.499579,20.402224,0.160000,1.830000,1.400000,7.264020,7.661389,8.193194
172,12.814766,21.499579,20.402845,0.130000,1.830000,1.540000,6.607421,7.661389,7.761037
173,12.037439,21.499579,20.415972,0.270000,1.830000,1.230000,5.610307,7.661389,8.728486
174,13.767057,21.499579,20.402845,0.260000,1.830000,1.540000,6.897284,7.661389,7.761037
175,13.728247,21.499579,20.415972,0.190000,1.830000,1.230000,7.085404,7.661389,8.728486
176,14.643999,21.499579,20.415972,0.800000,1.830000,1.230000,5.865506,7.661389,8.728486
177,11.094706,21.499579,20.402845,0.480000,1.830000,1.540000,4.276768,7.661389,7.761037
178,11.444723,21.499579,20.402845,0.450000,1.830000,1.540000,4.623658,7.661389,7.761037
179,10.224460,21.499579,20.402845,0.480000,1.830000,1.540000,3.644781,7.661389,7.761037
180,11.882849,21.499579,20.402845,0.240000,1.830000,1.540000,5.590743,7.661389,7.761037
181,12.591986,21.499579,20.402845,0.570000,1.830000,1.540000,5.086012,7.661389,7.761037
182,11.826373,21.499579,20.402845,0.090000,1.830000,1.540000,6.013237,7.661389,7.761037
183,10.117552,21.499579,20.415972,0.250000,1.830000,1.230000,4.277855,7.661389,8.728486
184,13.442644,21.499579,20.415972,0.130000,1.830000,1.230000,7.063397,7.661389,8.728486
185,10.242667,21.499579,20.438927,0.050000,1.830000,1.180000,4.986725,7.661389,8.899659
186,9.776756,21.499579,20.459702,0.400000,1.830000,1.160000,3.566855,7.661389,8.976547
187,13.506481,21.499579,20.415972,0.690000,1.830000,1.230000,5.379328,7.661389,8.728486
188,9.480473,21.499579,20.415972,0.440000,1.830000,1.230000,3.228087,7.661389,8.728486
189,13.583897,21.499579,20.438927,0.260000,1.830000,1.180000,6.764271,7.661389,8.899659
190,15.508136,21.499579,20.438927,1.040000,1.830000,1.180000,5.751445,7.661389,8.899659
191,12.737719,21.499579,20.438927,0.070000,1.830000,1.180000,6.736872,7.661389,8.899659
192,12.053630,21.499579,20.415972,0.030000,1.830000,1.230000,6.363677,7.661389,8.728486
193,15.186014,21.499579,20.415972,1.080000,1.830000,1.230000,5.393913,7.661389,8.728486
194,11.681818,21.499579,20.415972,0.340000,1.830000,1.230000,5.135745,7.661389,8.728486
195,11.597996,21.499579,20.415972,0.040000,1.830000,1.230000,6.001888,7.661389,8.728486
196,13.625010,21.499579,20.415972,0.560000,1.830000,1.230000,5.867112,7.661389,8.728486
197,11.619453,21.499579,20.415972,0.440000,1.830000,1.230000,4.781450,7.661389,8.728486
198,12.036202,21.499579,20.415972,0.410000,1.830000,1.230000,5.176802,7.661389,8.728486
199,13.152668,21.499579,20.459702,0.330000,1.830000,1.160000,6.234801,7.661389,8.976547
