index,SMILES,frequency
176,c1scc(C#N)c1N,0
177,c1sccc1/C=C(/Cc1ccc(CC)cc1)C=C,0
178,c1cc2c(s1)cc(s2)C=C,0
179,c1cc2c(C(=O)N(C2=O)CC)cc1C=C,9
180,C1=C2OCCSC2=C([S@@]1NC),0
181,c1sc(c2c1c(C(=O)C)ccc2),0
182,c1nc2cscc2nc1,1
183,c1sc(c2c1OCC[C@@H](SC)O2)C=C,0
184,c1cc2c(s1)c1c(C2(CC)CC)cc(s1)C=C,0
185,c1oc(c(c1OC)C#N)C=C,0
186,c1sc(c2c1c(C#N)ccc2)C=C,1
187,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)C=C,0
188,c1oc(nc1)C=C,2
189,c1c2n(CC)c3c(c2ccc1)cccc3,2
190,c1scc(N(=O)=O)c1N,0
191,c1c(F)c(F)c(c2c1nsn2)C=C,0
192,c1sc(c2c1cc(C#N)cc2),0
193,c1csc2c1n(CC)c1c2scc1,1
194,c1oc(cc1C=O)C=C,0
195,c1sc(c2c1[nH]cn2),0
196,c1ccc2c(c1)oc1c2ccc(c1)C=C,0
197,c1sc(CC)c(c1CC),0
198,c1cc2c(cc1)C(C(=O)N2CC)C1C(=O)Nc2cc(ccc12),1
199,c1oc(c(c1O)C(=O)O)C=C,1
200,c1ccc2c(c1)C(=O)c1c2ccc(c1),0
201,c1sc(c2c1C(=O)OC2=O)C=C,0
202,c1oc(nc1),0
203,c1sc(c2c1C[C@H](F)[C@@H](F)C2),1
204,c1sc(c(c1SCC)SCC)C=C,0
205,c1sc(c2c1cc(C(C)(C)C)cc2)C=C,0
206,c1sc(c(c1)C=O),0
207,c1oc(c(c1)N(=O)=O),0
208,c(s1)c2c(=O)n(C)c(=O)c2c1,0
209,c1sc(c2c1cc(C=C)cc2)C=C,0
210,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2),2
211,c1oc2c(C(=O)N)c(oc2c1)C=C,1
212,c1c2c(ccs1)nc1c2sc(c1),0
213,c1oc2c(c1)C(=S)c1c2oc(c1)C=C,0
214,c1c(OCCC)c(cc(c1)OCCC),0
215,c1[nH]cc2c1[nH]cc2C=C,0
216,c1scc(N(O)O)c1N(O)O,0
217,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O),0
218,c1[nH]c(=O)c2c1c(=O)[nH]c2C=C,0
219,c1nnc(nn1),0
220,C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C=C,0
221,c1[nH]cc2c1[nH]cc2,1
222,c1sc2c(c1)C(=O)c1c2sc(c1)C=C,0
223,c1sc(c2c1CC[C@@H](N(=O)=O)C2),0
224,c1sc(c2c1cc(C)cc2),1
225,C1SCN2[C@H]1NCC2C=C,0
226,c1sc(c2c1CCS(=O)(=O)C2),2
