gen,filename,deltaHOMO,summedoscs,PCE,donor
7,12_275_127_275_12,0.690000,6.969206,15.695743,PBDB-T-SF,
7,76_275_127_275_76,0.650000,7.076392,15.673138,PBDB-T-SF,
7,62_312_53_312_62,0.620000,6.957232,15.381405,PBDB-T-SF,
7,62_789_75_789_62,0.740000,6.512820,15.280050,PBDB-T-SF,
7,62_744_75_744_62,0.630000,6.601119,14.933588,PBDB-T-SF,
7,62_507_127_507_62,0.820000,5.914606,14.796708,PBDB-T-SF,
7,293_543_59_543_293,0.710000,6.149324,14.651865,PBDB-T-SF,
7,62_179_204_179_62,0.760000,5.867336,14.476318,PBDB-T-SF,
7,12_543_59_543_12,0.780000,5.762184,14.416624,PBDB-T-SF,
7,12_275_98_275_12,0.220000,6.801055,13.464349,PBDB-T-SF,
7,269_543_59_543_269,0.830000,4.413651,12.772443,PBDB-T-SF,
8,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
8,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
8,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
8,62_275_5_275_62,0.760000,8.454161,18.038377,PBDB-T-SF,
8,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
8,62_275_172_275_62,0.940000,7.775607,17.869907,PBDB-T-SF,
8,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
8,62_275_64_275_62,0.840000,7.761542,17.425040,PBDB-T-SF,
8,12_275_5_275_12,0.780000,7.815847,17.244517,PBDB-T-SF,
8,62_312_59_312_62,0.950000,7.246109,17.183339,PBDB-T-SF,
8,62_701_59_701_62,1.180000,6.475297,17.100580,PBDB-T-SF,
8,12_169_59_169_12,0.750000,7.796734,17.090549,PBDB-T-SF,
8,62_169_127_169_62,0.450000,8.615912,16.942057,PBDB-T-SF,
8,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
8,12_744_59_744_12,1.090000,6.534020,16.798492,PBDB-T-SF,
8,12_275_59_275_12,0.920000,7.031066,16.759574,PBDB-T-SF,
8,12_312_59_312_12,1.000000,6.768575,16.738524,PBDB-T-SF,
8,41_275_59_275_41,0.930000,6.849946,16.552723,PBDB-T-SF,
8,41_275_64_275_41,0.840000,7.036853,16.427143,PBDB-T-SF,
8,12_390_5_390_12,0.930000,6.721207,16.375449,PBDB-T-SF,
8,12_135_64_135_12,1.010000,6.303276,16.140358,PBDB-T-SF,
8,12_312_5_312_12,0.940000,6.506049,16.121726,PBDB-T-SF,
8,62_543_59_543_62,0.670000,7.254644,16.003692,PBDB-T-SF,
8,12_275_64_275_12,0.900000,6.534272,15.990389,PBDB-T-SF,
8,12_275_75_275_12,0.630000,7.335956,15.945458,PBDB-T-SF,
8,62_825_59_825_62,0.770000,6.844540,15.864479,PBDB-T-SF,
8,12_107_75_107_12,0.660000,6.292219,14.635882,PBDB-T-SF,
8,91_275_59_275_91,1.030000,5.058865,14.511903,PBDB-T-SF,
8,12_377_64_377_12,0.990000,4.883680,14.100473,PBDB-T-SF,
