,SMILES,new name,old name,homo,lumo,bandgap,new dft filename
191,c1cc2c(s1)c1c([nH]2)cc(s1),191,157,-5.319526452,-0.762952814,4.556573638,
192,c1oc(c(c1C#N)C(F)(F)F)C=C,192,833,-7.01713592,-2.051792856,4.965343064,
193,c1sc(c2c1SCCCS2),193,31,-5.838474776,-0.765020879,5.073453897,
194,c1cc2c(cs1)c1c(ccs1)c2C=C,194,16,-5.075984556,-1.941532323,3.134452233,16
195,c1c2nsnc2c(c2c1nc(CC)c(CC)n2),195,712,-6.309231738,-3.099295123,3.209936615,
196,c1oc(cc1C)C=C,196,500,-6.367899484,0.226153821,6.594053305,
197,c(s1)c2NCOc2c1,197,64,-5.381976581,-0.036626524,5.345350057,
198,c1sc(c2c1OCCCC2)C=C,198,231,-5.819508441,-1.10472781,4.714780631,
199,c1nc2c(c(=O)c3c2ncc3)c1C=C,199,127,-6.91871234,-3.982631105,2.936081235,
200,c1sc(c2c1[C@H](C#N)CC[C@H]2OC),200,183,-6.817703679,-0.956697876,5.861005803,
201,c1scc(C#N)c1N,201,86,-6.03521309,-1.363181545,4.672031545,
202,c1sccc1/C=C(/Cc1ccc(CC)cc1)C=C,202,585,-5.777303583,-1.375535514,4.401768069,
203,c1cc2c(s1)cc(s2)C=C,203,138,-5.736214391,-1.529987336,4.206227055,
204,c1cc2c(C(=O)N(C2=O)CC)cc1C=C,204,360,-6.816043784,-2.442140174,4.37390361,
205,C1=C2OCCSC2=C([S@@]1NC),205,541,-3.792858905,0.645671744,4.438530649,
206,c1sc(c2c1c(C(=O)C)ccc2),206,992,-5.917496639,-2.246517527,3.670979112,
207,c1nc2cscc2nc1,207,703,-6.429560482,-2.420289432,4.00927105,
208,c1sc(c2c1OCC[C@@H](SC)O2)C=C,208,348,-5.554796087,-0.966929356,4.587866731,
209,c1cc2c(s1)c1c(C2(CC)CC)cc(s1)C=C,209,336,-5.189265552,-1.623104695,3.566160857,
210,c1oc(c(c1OC)C#N)C=C,210,58,-6.290347036,-1.832931686,4.45741535,
211,c1sc(c2c1c(C#N)ccc2)C=C,211,97,-5.900924905,-2.55169321,3.349231695,
212,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)C=C,212,197,-5.929850607,-3.197881971,2.731968636,
213,c1oc(nc1)C=C,213,180,-6.396525861,-1.317901801,5.07862406,
214,c1c2n(CC)c3c(c2ccc1)cccc3,214,706,-5.559639714,-0.952235208,4.607404506,
215,c1scc(N(=O)=O)c1N,215,376,-6.031757244,-2.438385003,3.593372241,
216,c1c(F)c(F)c(c2c1nsn2)C=C,216,301,-6.556039,-2.826092817,3.729946183,
