,SMILES,new name,old name,homo,lumo,bandgap,
72,c1c(C)c(c2c1ccco2),72,6,-5.385323581,-1.79450921,3.590814371,6
73,c1c2c(sc(C(=O)OCC)c2F)c(s1)C=C,73,201,-5.765412207,-2.16937325,3.596038957,
74,c1sc(c2c1CC(=O)C(=O)C2)C=C,74,15,-6.293530769,-2.416071667,3.877459102,15
75,c1sc(c(c1)C=O)C=C,75,166,-6.568882774,-2.056609271,4.512273503,
76,C(=[N])/N=C(\C1=CSC=[S]1),76,772,-4.163450758,-3.478893944,0.684556814,
77,c1c(OC)cc(c(c1)OCC(CC)CC)C=C,77,217,-5.480345738,-0.992725749,4.487619989,
78,c1[nH]c(C=C)c(c1),78,308,-5.386221557,-0.539193595,4.847027962,
79,c1sc(c2c1cc[nH]2),79,832,-5.214898677,-0.616827676,4.598071001,
80,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O)C=C,80,328,-7.418258947,-3.909323633,3.508935314,
81,Nc1cscc1N,81,761,-5.228667637,0.224385081,5.453052718,
82,c1sc(c(c1OC)C(F)(F)F),82,276,-6.411845871,-0.86994798,5.541897891,
83,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1,83,343,-6.604284786,-2.091820803,4.512463983,
84,N(CC)c1cscc1N(CC)C=C,84,102,-5.247008111,-0.31159757,4.935410541,
85,c1c2c(ncc(C)n2)c(s1)C=C,85,327,-5.831100491,-2.433432531,3.39766796,
86,c1sc(c(c1O)C(=O)O)C=C,86,532,-6.168820991,-2.338655277,3.830165714,
87,c(s1)c2ccs(=N)(=O)c2c1,87,420,-6.337722058,-1.896932863,4.440789195,duplicate
88,c1sc(c2c1sc(=S)o2)C=C,88,596,-6.365831419,-2.047711148,4.318120271,
89,c1sc(c2c1c(C(=O)C)ccc2)C=C,89,198,-5.552918502,-2.417024066,3.135894436,
90,c1sc(c2c1C[C@H](C(=O)C(F)(F)F)CC2)C=C,90,750,-5.881441553,-1.795869779,4.085571774,
91,c1c2[nH]cnc2c(c2c1[nH]cn2),91,424,-5.746119335,-0.835933749,4.910185586,
92,C1SC=C1C(=O)CC=C,92,297,-6.341558863,-1.828033636,4.513525227,
93,c1sc2c(c1CC)sc(c2CC)C=C,93,740,-5.569109276,-1.410774258,4.158335018,
94,c1sc(c2c1ccc(F)c2)C=C,94,411,-5.510686432,-1.984934482,3.52575195,
