,SMILES,new name,old name,homo,lumo,bandgap,
109,c1sc(c2c1[C@H](C)CC[C@H]2C=C),108,787,-6.181936878,-0.410891914,5.771044964,
110,c(s1)cc(c(=C(CN)(CN))2)c1c(s3)c2cc3C=C,109,647,-5.066623839,-1.887762626,3.178861213,
111,c1cc(SC)sc1C=C,110,403,-5.32597555,-1.162524792,4.163450758,
112,c1scc2c1c(ccc2OC)C=C,111,950,-5.175061209,-1.546586281,3.628474928,
113,c1oc2c(C(=O)N)c(oc2c1),112,163,-6.155106453,-0.991093066,5.164013386,
114,c(s1)c2c(=O)n(C)c(=O)c2c1C=C,113,579,-6.711497643,-2.246653584,4.464844059,
115,c1[nH]c(cc1)C#CC=C,114,954,-5.474087119,-1.163014597,4.311072522,
116,c1sc(c2c1cc(C(=O)OC)s2),115,952,-5.914748289,-1.927572883,3.987175406,
117,c1sc(c2c1sc(=O)c(=O)s2),116,546,-6.858085374,-2.782636235,4.075449139,
118,c1sc(c(c1C#N)C(F)(F)F)C=C,117,453,-7.019394465,-2.355689604,4.663704861,
119,c1c(c2c(s1)c1c(n2CC)CCS1),118,926,-4.795462387,-0.274508452,4.520953935,
120,c1[nH]c2cc([nH]c2c1)C=C,119,367,-4.836606002,-0.607521383,4.229084619,
121,c1sc(c(c1OCC)ON(=O)=O)C=C,120,421,-6.094860446,-1.896579115,4.198281331,
122,c(s1)c2scnc2c1C=C,121,436,-5.812515115,-1.832605149,3.979909966,
123,c1oc2c(n1)cc1c(c2)oc(n1)C=C,122,870,-6.378185387,-1.919790427,4.458394961,
124,c1sc(CC)c2c1nc(s2),123,800,-5.957524586,-1.28821418,4.669310406,
125,c1oc(c(c1C(F)(F)F)OC)C=C,124,966,-5.760133199,-1.121109064,4.639024135,
126,c1c2n(CC)c3c(c2ccc1)cccc3C=C,125,686,-5.526006442,-1.158524719,4.367481723,
127,C1=CC=C(C1=S),126,205,-6.300088712,-3.524554649,2.775534064,
128,C1=C(Oc2c(csc2)O1),127,892,-5.4733252,-0.454947147,5.018378054,
129,c1oc(cc1C),128,472,-6.129500539,0.261964004,6.391464543,
130,N1c2cscc2N(CC(=O)C1)C=C,129,516,-5.383473207,-1.202988122,4.180485085,
131,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,130,41,-5.742799546,-1.503184122,4.239615425,
132,c1sc(c(c1C#N)C(F)(F)F),131,428,-7.720359744,-1.958675496,5.761684248,
133,c1oc(c(c1F)F)C=C,132,806,-6.169365219,-1.27466291,4.894702309,
134,c1cc2c(C(=O)N(C2=O)CC)cc1,133,890,-7.39632657,-2.356614791,5.03971178,
135,c1c2cscc2c(N)c(c1),134,552,-5.017643346,-1.297738164,3.719905182,
136,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,135,56,-6.236087535,-2.240422177,3.995665358,
137,c1sc(c(c1SCC)SCC)C=CC=C,136,264,-5.484890039,-1.800169178,3.684720861,
138,c1cc(cnc1)C=C,137,295,-6.603931038,-1.428026276,5.175904762,
139,N1C(=O)C=C(C1=O),138,965,-7.62283414,-2.875372635,4.747461504,
140,c1sc(c2c1ocn2)C=C,139,170,-5.877822439,-1.735106756,4.142715683,
141,c(oc1c(F)s2)csc1c2,140,445,-5.446113815,-0.67506004,4.771053775,
142,c1sc(c2c1[C@H](S)CCC2)C=C,141,359,-5.82459697,-1.271941771,4.552655199,
143,c1sc(c2c1c(F)ccc2F)C=C,142,253,-5.563530942,-2.107385715,3.456145227,
144,c1sc2c(c1)sc1cc(sc21)C=C,143,559,-5.555095412,-1.701419062,3.853676351,
145,C(=C)C#CC=C,144,959,-6.209692491,-1.587974797,4.621717694,
146,c1sc2c(c1)C(=S)c1c2oc(c1),145,533,-5.774528021,-3.166969838,2.607558184,
147,c1c(OC)c(cc(c1)OC),146,15u,-5.505080887,-0.231215139,5.273865748,
148,c1oc2CCc2c1C=C,147,469,-5.829195694,-0.796558875,5.032636819,
149,c1sc2nc(sc2c1),148,288,-6.444200208,-1.290418302,5.153781906,
150,c1sc(c2c1cc(N(=O)=O)c(N(=O)=O)c2),149,582,-6.885840987,-3.039947092,3.845893895,
151,c1occc1S,150,89,-5.891428132,0.075892553,5.967320685,
