,SMILES,new name,old name,homo,lumo
91,C1=CC(F)=C(C=C1F),37ac,5u,-6.809159304,-0.895009666
92,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448,-3.393014813
93,OC(=O)c1c(noc1C#N)C#N,92atr,33utr,-8.89651744,-3.774654489
94,C1=CC=C(c2c1non2),39ac,22a,-7.07430704,-2.64108261
95,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616
96,C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)C,95atr,14atr,-7.159587521,-3.491003011
97,C=C1C(=O)N(C(=O)N(C1=O)C)C,96atr,25atr,-7.438177681,-2.658116937
98,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.755135894,-2.59019732
99,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Br,98atr,30atr,-7.360108217,-3.692040724
100,C1=C(C(=C(C#N)C#N)OC1(C2=CC=CC=C2)C3=CC=CC=C3)C#N,99atr,20utr,-7.163397114,-3.22419538
101,C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C3C(=C2)SC=C3,51atr,32atr,-7.43385107,-3.566705084
102,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a,-7.121001777,-2.754989468
103,C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CS2,102atr,23atr,-7.414530987,-3.511955777
