Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg
38,-7.226010511,-5.359744879,-3.060056306,-0.980126878,1.866265632,2.079929428,2.299688573
39,-6.393723088,-5.545843542,-0.951554924,0.432633811,0.847879547,1.384188735,4.594288618
42,-6.762246876,-6.445941736,-0.92613949,-0.425422794,0.31630514,0.500716696,5.519802246
43,-6.378838461,-6.10397626,-1.610968418,0.188329996,0.2748622,1.799298414,4.493007843
44,-6.735117125,-6.444200208,-1.290499936,0.327352962,0.290916918,1.617852898,5.153700272
45,-6.675578615,-5.492726918,-1.573797666,-0.631331345,1.182851697,0.942466321,3.918929252
46,-6.9743052,-6.344089522,-1.46367319,0.424116647,0.630215678,1.887789838,4.880416331
47,-6.385940632,-5.71849978,-1.64911878,-0.697999238,0.667440853,0.951119542,4.069381
48,-6.792424302,-5.515829384,-1.52732062,-0.78842267,1.276594918,0.73889795,3.988508764
49,-6.928263536,-5.684104589,-2.35462836,-0.183377524,1.244158947,2.171250836,3.329476229
50,-6.721429798,-6.453615347,-2.545516226,-0.931799458,0.267814452,1.613716768,3.908099121
51,-6.90083446,-6.093527088,-1.293384343,0.217527812,0.807307372,1.510912155,4.800142746
52,-6.788424228,-4.997887881,-0.289610771,0.078259943,1.790536348,0.367870714,4.70827711
53,-6.75111742,-5.760867906,-2.872651497,-2.218897971,0.990249513,0.653753526,2.888216409
54,-6.177283732,-4.78294515,-0.73419038,-0.344332866,1.394338581,0.389857514,4.04875477
55,-6.753539233,-5.877169366,-2.857413121,-0.874546704,0.876369867,1.982866417,3.019756245
56,-8.608566563,-6.49552088,-1.618451549,1.149599384,2.113045683,2.768050933,4.877069331
57,-6.927229504,-5.505080887,-0.231215139,0.551465929,1.422148617,0.782681068,5.273865748
58,-8.23109023,-6.327245675,-1.601281165,-1.065271302,1.903844555,0.536009863,4.72596451
59,-6.864126302,-5.468481574,-1.426611284,0.47761423,1.395644728,1.904225514,4.04187029
60,-6.551821235,-6.318048226,-1.572464308,-1.076101433,0.233773009,0.496362875,4.745583919
61,-5.941932462,-5.768187769,-0.928615726,-0.003891228,0.173744694,0.924724498,4.839572043
62,-6.455873892,-5.156856792,-0.631739515,-0.371952422,1.2990171,0.259787093,4.525117277
135,-6.681918867,-5.230245898,-2.003764761,-0.725782062,1.45167297,1.277982699,3.226481137
137,-6.165283511,-5.669247173,-1.259016363,-0.597044999,0.496036338,0.661971364,4.410230809
149,-7.075422707,-5.578333935,-2.230490021,-1.060563732,1.497088771,1.169926289,3.347843914
169,-6.411111163,-5.958204871,-1.634669534,-0.285338584,0.452906293,1.34933095,4.323535336
174,-7.770510326,-6.309803177,-3.153881161,-1.48351029,1.460707149,1.670370871,3.155922015
179,-6.79906388,-5.398439469,-1.740902781,-0.260195264,1.400624411,1.480707517,3.657536687
239,-6.068084443,-5.082651345,-0.840341993,-0.203241835,0.985433098,0.637100158,4.242309352
274,-6.599713273,-5.811943676,-1.208811358,-0.52338378,0.787769597,0.685427578,4.603132318
275,-6.372851956,-5.471420403,-1.709582477,-0.411517776,0.901431553,1.298064701,3.761837926
312,-5.901958938,-5.342438438,-2.472535291,0.771388343,0.559520499,3.243923635,2.869903147
323,-6.20180119,-5.511421139,-3.212957078,-1.458503027,0.69038005,1.754454051,2.298464061
377,-6.067322525,-5.340832967,-2.061942702,0.376523935,0.726489558,2.438466637,3.278890264
390,-5.966694823,-5.087603817,-0.206779315,0.975092772,0.879091005,1.181872087,4.880824502
485,-6.598053379,-6.167895804,-1.01846772,-0.027537922,0.430157575,0.990929798,5.149428084
523,-5.671396872,-5.638471096,-1.70492933,0.333475524,0.032925776,2.038404854,3.933541766
543,-5.976735824,-5.31280524,0.006068139,0.884315591,0.663930584,0.878247452,5.318873379
600,-6.636339797,-4.869069184,-0.803443355,0.166696945,1.767270613,0.9701403,4.065625829
633,-6.365586516,-6.2293119,-0.408823849,1.356814081,0.136274616,1.76563793,5.820488051
644,-6.7921794,-6.021362495,-1.324051574,0.420116574,0.770816904,1.744168148,4.697310921
713,-5.925632843,-5.840542842,-0.710598109,-0.314563611,0.085090001,0.396034498,5.129944732
744,-7.501906744,-6.139568752,-2.200285384,-0.127730241,1.362337993,2.072555142,3.939283368
799,-6.195787473,-5.642824918,-1.346201641,-0.043402159,0.552962556,1.302799482,4.296623277
911,-5.914612232,-4.203941299,-1.510340716,-0.16639762,1.710670933,1.343943096,2.693600583
923,-6.484255366,-5.90062558,-1.431618179,-0.843253611,0.583629787,0.588364568,4.469007401
