Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
51_45_19_45_51_10201,-7.24,-6.4,-3.11,-2.96,3.29,0.84,0.15,11119.6,899.3129249,0.856338103,-5594.352862,15.72563,9.629208368,0.856338103,1.800807911,1.378608008,11119.6,2.20665803,17798.5,19.99681642
45_18_45_63_31_01023,-7.46,-6.47,-3.21,-2.74,3.26,0.99,0.47,11460.2,872.5851207,0.192897351,-4950.478491,6.94333,7.316616565,0.192897351,0.861530616,1.420835596,11460.2,2.217779036,17888.2,17.45062751
38_45_21_45_38_10201,-7.42,-6.53,-3.38,-3.26,3.15,0.89,0.12,11027.7,906.8074032,0.858309168,-5795.703797,4.28183,9.625857439,0.858309168,0.858309168,1.367214246,11027.7,1.367214246,11027.7,20.2049522
45_45_39_3_3_00133,-7.64,-6.75,-3.03,-2.81,3.72,0.89,0.22,12218,818.4645605,0.289525628,-4705.887271,8.14205,5.284789566,0.289525628,1.253687301,1.51478764,12218,2.433380256,19627.2,14.22730173
42_82_44_82_42_10201,-6.77,-5.74,-2.85,-2.43,2.89,1.03,0.42,10548.1,948.0380353,0.376849165,-10201.62622,9.80946,8.143328746,0.376849165,1.024894185,1.307753438,10548.1,1.912056754,15422.3,18.75921019
45_19_19_44_30_01124,-7.58,-6.63,-3.17,-3.01,3.46,0.95,0.16,14564.1,686.6198392,0.962941868,-4918.486529,21.05441,6.613884758,0.962941868,0.962941868,1.805657118,14564.1,1.805657118,14564.1,16.31276581
32_55_4_55_32_10201,-6.89,-6.42,-2.57,-2.47,3.85,0.47,0.1,16642,600.8893162,1.780803645,-7541.909832,2.50844,8.692420663,1.780803645,1.780803645,2.06327516,16642,2.06327516,16642,17.13250976
45_44_51_44_45_02420,-5.5,-4.88,-2.72,-2.65,2.16,0.62,0.07,3481.7,2872.160152,0.299368508,-6307.983717,2.56618,7.488806481,0.04358724,0.299368508,0.431661166,3481.7,1.005874536,8113.2,16.11338303
32_45_21_45_32_10201,-7.28,-6.39,-3.16,-3.05,3.23,0.89,0.11,11375.5,879.0822381,0.758216351,-6004.195359,7.88645,9.501985784,0.758216351,0.758216351,1.41033449,11375.5,1.41033449,11375.5,20.03438093
29_73_63_73_29_10201,-7.44,-6.32,-3.97,-3.55,2.35,1.12,0.42,5020,1992.031873,0.308932447,-3074.488151,4.56786,6.011807445,0.308932447,0.308932447,0.6223796,5020,0.6223796,5020,16.20705535
35_45_44_45_35_10201,-7.19,-5.91,-3.29,-2.92,2.62,1.28,0.37,7642.2,1308.523724,0.87722131,-4800.132308,5.66245,6.182699063,0.87722131,1.223250979,0.947479956,7642.2,1.689425868,13626.6,17.12317311
5_6_6_63_42_10023,-7.24,-6.54,-3.22,-2.63,3.32,0.7,0.59,12380.4,807.7283448,1.068626345,-8277.034011,15.69467,7.422075181,1.068626345,1.068626345,1.534921992,12380.4,1.534921992,12380.4,16.36189403
38_57_44_57_38_10201,-7.76,-6.05,-3.48,-2.81,2.57,1.71,0.67,6966.1,1435.523464,0.570148418,-3976.893399,9.73553,6.741853052,0.570148418,0.570148418,0.863657078,6966.1,0.863657078,6966.1,19.72277815
