gen,filename,deltaHOMO,summedoscs,PCE,
113,42_45_45_63_5_10023,0.57,10.83115,20.50304,5
60,5_45_44_45_5_10201,1.1,9.191827,20.500842,3
61,5_45_44_45_5_10201,1.1,9.191827,20.500842,3
62,5_45_44_45_5_10201,1.1,9.191827,20.500842,3
67,43_45_45_63_51_10023,0.74,10.303814,20.500248,1
98,30_45_45_63_42_10023,0.6,10.72248,20.481051,2
99,30_45_45_63_42_10023,0.6,10.72248,20.481051,2
55,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
56,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
57,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
58,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
59,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
60,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
61,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
77,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
93,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
105,45_45_44_45_45_00200,0.88,9.848546,20.469045,10
74,45_61_44_61_45_10201,1.01,9.429962,20.445805,1
36,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
37,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
38,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
39,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
40,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
41,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
42,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
43,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
44,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
45,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
46,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
47,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
48,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
49,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
50,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
51,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
52,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
53,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
54,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
55,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
56,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
57,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
58,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
59,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
60,32_45_4_45_32_10201,0.63,10.597261,20.436275,25
64,51_4_63_4_51_10201,0.5,10.990014,20.423945,1
101,51_45_45_44_45_10023,0.93,9.644707,20.401109,2
107,51_45_45_44_45_10023,0.93,9.644707,20.401109,2
98,30_45_45_45_30_10001,0.66,10.469045,20.387371,2
106,30_45_45_45_30_10001,0.66,10.469045,20.387371,2
104,30_45_45_63_45_10023,0.63,10.554133,20.376888,1
93,45_45_45_45_7_10003,0.31,11.533101,20.363327,1
63,9_45_63_45_9_10201,1,9.394743,20.354757,1
111,45_73_29_73_45_10201,0.82,9.93892,20.33819,1
63,38_45_45_63_51_10023,0.69,10.333815,20.32881,1
69,45_45_31_45_45_10201,1.17,8.830696,20.301414,1
36,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
37,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
38,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
39,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
40,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
41,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
42,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
43,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
44,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
45,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
46,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
47,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
48,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
49,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
50,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
51,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
52,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
53,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
54,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
55,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
56,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
57,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
58,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
59,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
60,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
65,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
67,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
76,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
78,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
79,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
82,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
90,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
92,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
110,32_45_45_45_32_10001,0.67,10.356204,20.274539,34
80,32_45_45_63_41_10023,0.94,9.518663,20.270095,1
84,5_45_45_63_45_10023,0.6,10.556716,20.252794,1
79,45_45_51_45_45_10201,0.84,9.814453,20.251898,1
112,45_45_45_45_45_10101,0.98,9.37652,20.244564,1
52,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
53,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
54,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
55,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
56,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
57,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
58,38_45_21_45_38_10201,0.89,9.625857,20.204952,7
71,32_45_10_45_32_10201,0.69,10.232771,20.189673,1
115,17_45_63_45_17_10201,0.94,9.453053,20.179751,1
68,51_45_45_63_42_10023,0.61,10.46878,20.174256,5
86,51_45_45_63_42_10023,0.61,10.46878,20.174256,5
87,51_45_45_63_42_10023,0.61,10.46878,20.174256,5
110,51_45_45_63_42_10023,0.61,10.46878,20.174256,5
113,51_45_45_63_42_10023,0.61,10.46878,20.174256,5
67,59_45_63_45_59_10201,0.97,9.350769,20.166555,1
68,57_45_44_45_57_10201,1.11,8.896986,20.137396,2
113,57_45_44_45_57_10201,1.11,8.896986,20.137396,2
107,32_45_45_63_45_10023,0.63,10.369283,20.122349,2
109,32_45_45_63_45_10023,0.63,10.369283,20.122349,2
67,49_45_63_45_49_10201,0.97,9.318612,20.122275,3
101,49_45_63_45_49_10201,0.97,9.318612,20.122275,3
106,49_45_63_45_49_10201,0.97,9.318612,20.122275,3
78,38_45_45_44_42_10023,0.92,9.467271,20.114229,3
88,38_45_45_44_42_10023,0.92,9.467271,20.114229,3
91,38_45_45_44_42_10023,0.92,9.467271,20.114229,3
98,45_45_45_63_15_10023,0.72,10.08415,20.112671,1
66,9_45_45_63_51_10023,0.68,10.203525,20.106851,1
105,38_48_44_48_38_10201,1.07,8.984979,20.088362,1
105,51_45_45_44_42_10023,0.91,9.466962,20.071253,1
97,17_45_44_45_17_10201,1.08,8.93812,20.066388,1
82,15_45_45_44_42_10023,0.87,9.581142,20.05828,1
71,60_45_45_44_42_10023,0.88,9.544763,20.050735,1
63,42_45_63_45_10_10203,0.93,9.389296,20.049407,1
28,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
29,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
30,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
31,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
32,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
33,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
34,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
35,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
36,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
37,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
38,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
39,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
40,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
41,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
42,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
43,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
44,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
45,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
46,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
47,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
48,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
49,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
50,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
51,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
52,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
53,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
54,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
55,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
56,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
57,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
58,38_45_4_45_38_10201,0.59,10.437242,20.045729,31
51,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
52,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
53,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
54,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
55,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
56,32_45_21_45_32_10201,0.89,9.501986,20.034381,6
31,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
32,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
33,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
34,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
35,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
36,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
37,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
38,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
39,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
40,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
41,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
42,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
43,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
44,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
45,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
46,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
47,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
48,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
49,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
50,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
51,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
52,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
53,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
54,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
55,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
56,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
57,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
62,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
63,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
72,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
73,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
74,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
78,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
