Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg,frequency
52,-6.96995137809205,-6.9671486054319,-0.25396385667165,-0.24443987190415,0.0028027726601500547,0.009523984767499993,6.71318474876025,160
54,-7.5930376729669495,-7.56000305151625,-2.4644807212084,-2.22591850847505,0.033034621450699575,0.23856221273335,5.095522330307849,1
55,-7.279208769185301,-6.951474847643101,-1.11689129937725,0.32895843386945,0.32773392154220016,1.4458497332467,5.834583548265851,302
56,-7.03890502780875,-6.7561515257542,-2.47098424223535,-2.2896203608771,0.2827535020545495,0.1813638813582501,4.285167283518851,3
59,-7.48762076728325,-7.141464738062201,-1.2325668972248,0.6954141563378,0.34615602922104927,1.9279810535626,5.908897840837401,2
21,-6.857704414760801,-6.7180011639141,-2.00980568840795,-0.40561290555530005,0.13970325084670066,1.6041927828526497,4.70819547550615,1
62,-8.29073758564895,-7.394421773486999,-3.1152137832941,-2.687396387538,0.8963158121619506,0.4278173957561,4.2792079901929,668
64,-7.35265229743525,-6.56319559436465,-1.37099121297415,-0.7270337857658999,0.7894567030705995,0.64395742720825,5.1922043813905,2
26,-7.502668663215901,-6.823445280982851,-2.43707885646305,-0.06802846262500001,0.67922338223305,2.36905039383805,4.386366424519801,2
69,-7.03686417393,-6.7409131501262,-3.0223957488885502,-1.45763226297335,0.29595102380379945,1.5647634859152002,3.71851740123765,19
29,-8.7754539875446,-6.648421652341249,-2.2943279304907502,-1.55113058200515,2.12703233520335,0.7431973484856003,4.354093721850499,1
76,-7.2124864530427,-6.9931626895397,-1.2356962065055501,0.3201147337282,0.21932376350300054,1.55581094023375,5.7574664830341495,291
32,-8.0893461248939,-7.0054622355823,-1.35319496715145,-1.07765248213515,1.0838838893116005,0.27554248501629997,5.65226726843085,1
81,-7.149083925876201,-6.879500734185851,-1.0307128429239,0.73734690069985,0.2695831916903497,1.7680597436237502,5.848787891261951,4
82,-7.6546714601052,-6.6743541022939,-3.24275354502345,-1.8130673744964498,0.9803173578113,1.429686170527,3.4316005572704498,2
34,-7.7861024498967,-7.6153782200930005,-3.0558929638851002,-2.9401357318824,0.1707242298036995,0.11575723200270005,4.5594852562079,1
84,-7.32734570933875,-6.6700547034560005,-2.987265850789,-0.9848344477296,0.6572910058827492,2.0024314030593997,3.6827888526670005,1
85,-6.97142079288475,-6.66600020708355,-2.4828211947321,-1.9409336728464002,0.30542058580120024,0.5418875218857,4.18317901235145,1
87,-8.2754719986359,-7.8219398440075505,-0.7448572429736501,0.39704131926455,0.45353215462835017,1.1418985622382,7.077082601033901,2
88,-7.737013111266501,-6.5488551944433,-2.8576852351809,-0.84281822915365,1.1881579168232008,2.01486700602725,3.6911699592624,10
90,-7.3009234544552,-7.3009234544552,-0.92537757139535,-0.92537757139535,0.0,0.0,6.37554588305985,576
39,-8.2331855062682,-7.0743070397588,-2.6410826101829,-0.2044119244956,1.1588784665093996,2.4366706856873,4.433224429575899,3
40,-7.0992870912347,-6.6409929442225994,-2.60845615950795,-0.6028410243977,0.4582941470121007,2.00561513511025,4.032536784714649,2
97,-7.6029154057401,-7.3372234421119,-0.72341467155425,-0.11197484948075,0.2656919636281998,0.6114398220735,6.61380877055765,1
99,-7.207343501268251,-6.8539492436239,-2.96122455529615,1.2571115665399002,0.35339425764435095,4.2183361218360504,3.8927246883277498,2
100,-6.9066849078508,-6.7065723821931,-4.1003203448742,-1.41637980323755,0.20011252565770032,2.68394054163665,2.6062520373188995,1
42,-7.4266944761563005,-7.1210017765046,-2.7549894680022002,-0.40128629533235,0.30569269965170065,2.3537031726698503,4.3660123085024,2
103,-7.5487103267205,-7.45344326766045,-1.57006970599995,-0.9184386682075999,0.09526705906004995,0.6516310377923501,5.8833735616605,8
47,-6.9766181674293,-6.9186579172727996,-1.5467495490121,-0.24898417320750002,0.057960250156500415,1.2977653758046,5.3719083682607,2
49,-8.869659802587702,-8.7503106677584,-4.08200708273555,-3.18947365309555,0.1193491348293012,0.8925334296399998,4.6683035850228505,2
50,-7.600439169700549,-6.964509101082049,-3.21570542828375,-0.99569179036455,0.6359300686185003,2.2200136379192,3.748803672798299,1
