Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg,frequency
15,-6.113309765333,-5.7621740526478,-1.2492202648754,0.27883506260734997,0.35113571268519994,1.52805532748275,4.5129537877724,96
16,-6.92722950356355,-5.5050808866954,-0.23121513876984998,0.5514659294233,1.4221486168681494,0.78268106819315,5.273865747925551,9
17,-6.71274936659945,-5.64209021042215,-0.43900127501165004,0.8081237132149,1.0706591561772996,1.24712498822655,5.2030889354105,14
18,-6.7928868955717,-5.98326655617905,-1.058522878445,-0.448987853325,0.8096203393926498,0.60953502512,4.92474367773405,7
19,-6.3785119240303,-5.6053276292196,-1.31733036165555,-0.2989986989294,0.7731842948107,1.01833166272615,4.28799726756405,24
20,-5.6358588032457,-5.26962077185775,-0.758109187493,0.58164335544375,0.3662380313879501,1.33975254293675,4.51151158436475,21
21,-6.2506728370654,-5.28562106626715,-1.3460383728833,-0.69059774118395,0.96505177079825,0.6554406316993501,3.9395826933838496,19
22,-6.30506839578035,-4.8125511371729,-0.9969707254618999,0.1617444727372,1.4925172586074504,1.1587151981991,3.8155804117109997,16
23,-9.022152404407901,-6.44237704474265,-2.8948559871592003,-1.9037357094830498,2.579775359665251,0.9911202776761505,3.5475210575834497,5
24,-6.033662041291651,-5.6926761752301,-0.4158988091042,0.6739987963034499,0.34098586606155035,1.08989760540765,5.2767773661259,15
25,-6.383246705029,-6.0109405347749005,-0.92004413992555,0.7288297371792,0.37230617025409973,1.64887387710475,5.09089639484935,100
26,-6.7042322030788,-6.3024288914305,-0.39973524638450003,1.28097595122875,0.4018033116483002,1.68071119761325,5.902693645046,11
27,-6.558488024751,-6.154997607229601,-2.12670579858275,0.1093353451309,0.40349041752139936,2.23604114371365,4.02829180864685,2
28,-6.59269273575885,-6.5243105251282,-0.6348960359865999,0.34656419999680005,0.06838221063064953,0.9814602359833999,5.8894144891416005,7
29,-6.90752846078735,-5.85597169691515,-1.64005738834855,-0.02059901848285,1.0515567638721999,1.6194583698657001,4.2159143085665995,18
30,-6.26642822900935,-5.19772829255565,-1.6053628724098001,-0.7569663093209,1.0686999364537,0.8483965630889001,3.5923654201458497,171
31,-6.740232865499951,-6.2114340198233,-1.74754235929605,-1.167368418645,0.5287988456766506,0.58017394065105,4.46389166052725,5
32,-7.226010511412549,-5.35974487914335,-3.06005630579775,-0.9801268781159501,1.866265632269199,2.0799294276818,2.2996885733456,6
33,-6.3937230882732505,-5.545843541500299,-0.95155492381345,0.43263381090995,0.8478795467729512,1.3841887347233999,4.59428861768685,6
34,-5.994668126515,-5.8535498836457,-0.1958131268198,1.2866903420892501,0.1411182428693003,1.4825034689090502,5.6577367568259,7
35,-6.3788384606509,-6.10397626026085,-1.6109684177301,0.18832999593105001,0.27486220039005005,1.79929841366115,4.49300784253075,19
36,-6.67557861462115,-5.4927269178827,-1.5737976657518,-0.63133134454505,1.1828516967384504,0.94246632120675,3.9189292521308996,9
37,-6.9743051997000505,-6.34408952194205,-1.46367319045445,0.4241166473893,0.6302156777580006,1.88778983784375,4.8804163314876,6
38,-6.38594063214895,-5.71849977964255,-1.6491187795702,-0.69799923791755,0.6674408525063997,0.95111954165265,4.06938100007235,16
39,-6.79242430202585,-5.51582938379015,-1.5273206200864,-0.7884226704387,1.2765949182357001,0.7388979496477001,3.98850876370375,16
40,-6.928263536195449,-5.68410458893935,-2.35462835976155,-0.18337752385195,1.244158947256099,2.1712508359096,3.3294762291778004,1
42,-8.60856656303295,-6.495520879745301,-1.61845154861885,1.14959938420735,2.113045683287649,2.7680509328262,4.87706933112645,6
43,-6.92722950356355,-5.5050808866954,-0.23121513876984998,0.5514659294233,1.4221486168681494,0.78268106819315,5.273865747925551,10
44,-8.231090229619351,-6.3272456745961,-1.6012811646523002,-1.0652713019374,1.9038445550232508,0.5360098627149001,4.7259645099438,6
45,-6.8641263016325995,-5.4684815738031505,-1.42661128401635,0.47761423039760004,1.395644727829449,1.9042255144139502,4.0418702897868,14
46,-5.9419324622881,-5.76818776874385,-0.9286157262163,-0.00389122806215,0.1737446935442497,0.9247244981541499,4.83957204252755,8
47,-6.80934978352695,-4.9684179507393,-2.2844501977176,-0.6042560164203,1.8409318327876498,1.6801941812973,2.6839677530217,30
48,-7.242582244908,-6.22060425658515,-3.5723378407490505,-1.2494107445707499,1.02197798832285,2.322927096178301,2.6482664158361,1989
