gen,filename,deltaHOMO,summedoscs,PCE,donor
6,764_834_214_834_764_02120,0.470000,6.202473,13.703852,PBDB-T-SF,
6,100_100_100_100_100_00000,1.020000,4.478153,13.669713,PBDB-T-SF,
6,764_214_764_764_132_01003,0.780000,5.174723,13.607690,PBDB-T-SF,
6,260_495_495_121_88_10035,0.700000,5.190281,13.288713,PBDB-T-SF,
6,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
6,119_57_119_183_555_01032,0.700000,4.980545,12.999908,PBDB-T-SF,
6,764_110_845_144_845_01232,0.860000,4.470911,12.978941,PBDB-T-SF,
6,495_121_495_495_260_01003,0.370000,5.904094,12.867483,PBDB-T-SF,
6,154_580_834_102_725_10234,0.840000,4.432867,12.841454,PBDB-T-SF,
6,580_834_102_834_580_02120,0.640000,5.039627,12.825962,PBDB-T-SF,
6,38_30_114_114_30_13553,0.880000,4.254962,12.766679,PBDB-T-SF,
6,580_834_102_454_834_02142,0.680000,4.868846,12.760998,PBDB-T-SF,
6,723_11_723_723_57_01003,0.720000,4.628649,12.600446,PBDB-T-SF,
6,102_219_102_219_102_13131,0.890000,4.065409,12.548215,PBDB-T-SF,
6,764_214_764_214_764_01010,0.550000,4.977559,12.357545,PBDB-T-SF,
6,580_834_30_826_834_02142,0.510000,4.985546,12.198344,PBDB-T-SF,
6,302_32_130_32_302_02120,0.330000,5.394071,11.994982,PBDB-T-SF,
6,495_121_495_121_495_01010,0.580000,4.296791,11.547778,PBDB-T-SF,
6,580_102_580_580_154_01003,0.470000,4.418117,11.246794,PBDB-T-SF,
6,580_214_580_580_268_01003,0.420000,4.303905,10.876774,PBDB-T-SF,
6,57_183_183_183_57_13331,0.510000,3.891012,10.691171,PBDB-T-SF,
7,764_764_764_764_764_00000,0.820000,6.366845,15.419442,PBDB-T-SF,
7,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
7,154_154_580_154_154_11011,1.260000,4.520762,14.749585,PBDB-T-SF,
7,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
7,214_158_100_158_214_13031,1.260000,4.448856,14.650571,PBDB-T-SF,
7,102_50_834_50_102_13031,0.970000,5.158485,14.393780,PBDB-T-SF,
7,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
7,214_102_834_102_214_13031,1.480000,3.457719,14.221876,PBDB-T-SF,
7,154_102_580_102_154_13031,1.250000,4.001904,13.992569,PBDB-T-SF,
7,102_158_834_158_102_13031,1.080000,4.487107,13.937344,PBDB-T-SF,
7,764_834_30_834_764_02120,0.590000,5.991651,13.924150,PBDB-T-SF,
7,154_580_131_102_725_10234,1.500000,3.104701,13.820870,PBDB-T-SF,
7,28_110_28_28_214_01003,0.310000,6.742952,13.767291,PBDB-T-SF,
7,154_580_580_102_260_10035,0.910000,4.860650,13.728362,PBDB-T-SF,
7,100_214_100_100_132_01003,1.050000,4.426226,13.725859,PBDB-T-SF,
7,764_834_214_834_764_02120,0.470000,6.202473,13.703852,PBDB-T-SF,
7,100_100_100_100_100_00000,1.020000,4.478153,13.669713,PBDB-T-SF,
7,764_214_764_764_132_01003,0.780000,5.174723,13.607690,PBDB-T-SF,
7,260_495_495_88_6_10035,0.690000,5.330025,13.438590,PBDB-T-SF,
7,260_495_495_121_88_10035,0.700000,5.190281,13.288713,PBDB-T-SF,
