,SMILES,new name,old name,homo,lumo,bandgap,acc_term_count
77,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,77atl,53utl,-7.098987766,-3.727034565,3.371953201,5
78,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.730246287,-2.474004706,4.256241581,711
79,C1=CC(SC1=O)=C,79atl,27utl,-6.750409924,-2.5009984,4.249411524,9
80,c1(=C(C#N)C#N)n(C)c(=O)c(s1)=C,80atl,20atl,-6.99827843,-3.002313747,3.995964683,4
81,C1(=C(C#N)C#N)C2=C(C=C(C=C2)F)C(=O)C1=C,81atl,13atl,-7.437932778,-3.621345545,3.816587233,16
82,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.61537822,-3.055892964,4.559485256,4
83,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=C,83atl,46utl,-7.803109566,-4.081217953,3.721891613,3
84,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=C,84atl,47utl,-7.482940409,-3.70219057,3.780749839,4
85,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.891419321,-3.221338185,3.670081136,5
86,C1(=C(C#N)C#N)C2=C(C=CC(=C2)C)C(=O)C1=C,86atl,16atl,-7.356298623,-3.495737792,3.860560831,4
87,C1(=O)C2=C(C=C(C(=C2)Br)Br)C(=C(C#N)C#N)C1=C,87atl,31atl,-7.418150101,-3.786110482,3.632039619,1
88,C=C,36ac,59u,-7.506233355,0.157499497,7.663732852,219
89,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=C,89atl,51utl,-6.874221725,-3.577671272,3.296550453,3
90,C1=CC(F)=C(C=C1F),37ac,5u,-6.809159304,-0.895009666,5.914149638,553
91,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448,-3.393014813,3.472417635,4
92,o1nc(C#N)c(c1C#N)C(=O)O,92atl,33utl,-8.89651744,-3.774654489,5.121862951,3
93,C1=CC=C(c2c1non2),39ac,22a,-7.07430704,-2.64108261,4.43322443,8
94,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616,4.032536784,4
95,C12=CSC(C)=C1C(=O)C(C2=C(C#N)C#N)=C,95atl,14atl,-7.159587521,-3.491003011,3.66858451,6
96,C1(=O)N(C)C(=O)N(C)C(=O)C1=C,96atl,25atl,-7.438177681,-2.658116937,4.780060744,5
97,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.755135894,-2.59019732,5.164938574,5
98,C1(=O)C2=C(C=CC(=C2)Br)C(=C(C#N)C#N)C1=C,98atl,30atl,-7.360108217,-3.692040724,3.668067493,2
99,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)O1)C#N),99atl,20utl,-7.163397114,-3.22419538,3.939201734,27
100,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,100atl,2atl,-7.43385107,-3.566705084,3.867145986,6
101,C1=C(F)C(F)=C(C2C1=NSN=2),42ac,2a,-7.121001777,-2.754989468,4.366012309,7
102,C1(=O)C2=C(C=CS2)C(=C(C#N)C#N)C1=C,102atl,23atl,-7.414530987,-3.511955777,3.90257521,1
