Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
279_7_580_22_279_13051,-7.94,-6.59,-3.78,-2.99,1.3500000000000005,0.7899999999999996,9349.5,1.075568772,-3684.206155381255,5.80948,7.896622565,1.075568772,1.075568772,1.15915101,9349.5,1.15915101,9349.5,19.781095774241997
580_7_143_7_580_01310,-6.7,-6.58,-2.51,-2.4,0.1200000000000001,0.10999999999999988,17215.2,0.781276355,-3630.076106535445,4.71945,3.901877824,0.781276355,0.781276355,2.134340496,17215.2,2.134340496,17215.2,9.046682265885002
279_70_580_143_279_13051,-8.0,-6.81,-3.07,-2.47,1.1900000000000004,0.5999999999999996,15297.1,0.971532712,-4250.66110500487,8.56489,6.588936158999999,0.971532712,0.971532712,1.8965344579999999,15297.1,1.8965344579999999,15297.1,17.299611593180003
260_189_580_203_260_13051,-8.37,-6.55,-2.92,-2.89,1.8199999999999994,0.029999999999999805,14754.5,0.729643622,-4251.317001778601,5.66229,5.6105439839999995,0.729643622,0.729643622,1.8292629099999997,14754.5,1.8292629099999997,14754.5,18.633015568204996
260_175_580_175_260_13031,-8.06,-6.59,-2.97,-2.72,1.4700000000000006,0.25,15247.5,1.066317162,-4673.061567582095,3.92816,5.920309238000001,1.066317162,1.066317162,1.89038505,15247.5,1.89038505,15247.5,17.570312322963005
260_151_580_151_260_13031,-8.33,-6.81,-3.33,-3.07,1.5200000000000005,0.26000000000000023,13855.9,0.882493029,-6111.832583923857,7.08886,6.043747401,0.882493029,0.882493029,1.717854482,13855.9,1.717854482,13855.9,17.953036673413997
260_189_199_203_260_13571,-8.43,-7.88,-2.93,-2.88,0.5499999999999998,0.050000000000000266,22964.6,0.378103226,-5057.888163546635,3.4192,4.624143267,0.378103226,0.378103226,2.8471511079999994,22964.6,2.8471511079999994,22964.6,11.870891780895994
260_189_580_189_260_13031,-8.3,-6.72,-3.09,-2.7,1.580000000000001,0.3899999999999997,14538.5,0.852749054,-4173.99805920125,4.38459,4.9546899159999995,0.852749054,0.852749054,1.8024832299999998,14538.5,1.8024832299999998,14538.5,16.708704516569
279_7_580_100_279_13051,-7.87,-6.54,-2.96,-2.79,1.33,0.16999999999999993,14018.9,0.924423752,-3548.661765824946,10.83919,6.612956678999999,0.924423752,0.924423752,1.7380632219999999,14018.9,1.7380632219999999,14018.9,17.928387849219995
260_175_580_148_260_13051,-7.8,-6.44,-2.99,-2.7,1.3599999999999994,0.29000000000000004,12806.0,0.766158566,-4616.923676631639,8.4014,5.493470678999999,0.766158566,0.766158566,1.5876878799999998,12806.0,1.5876878799999998,12806.0,16.514505627219997
279_7_580_160_279_13051,-7.61,-6.57,-3.1,-2.29,1.04,0.81,13188.9,0.902074059,-3932.973643090271,8.14838,6.817396023,0.902074059,0.902074059,1.6351598219999999,13188.9,1.6351598219999999,13188.9,16.975950825907994
260_32_580_32_260_13031,-7.73,-6.63,-3.23,-2.8,1.1000000000000005,0.43000000000000016,13052.7,1.521611025,-5132.388561498211,1.16413,5.726943552,1.521611025,1.521611025,1.6182737459999998,13052.7,1.6182737459999998,13052.7,15.729697773341
260_86_580_202_260_13051,-8.15,-6.74,-2.97,-2.9,1.4100000000000001,0.07000000000000028,14872.6,0.751771736,-4591.871539034328,3.23432,5.25022145,0.047091027,0.751771736,1.8439049479999998,14872.6,2.070937124,16703.8,16.392301438886996
260_11_580_119_260_13051,-8.11,-6.92,-3.61,-3.03,1.1899999999999995,0.5800000000000001,11459.2,1.107496391,-4838.143773999262,7.99871,5.271787336,1.107496391,1.107496391,1.420711616,11459.2,1.420711616,11459.2,15.485897663908998
260_86_580_88_260_13051,-8.27,-6.68,-3.0,-2.53,1.5899999999999999,0.4700000000000002,13801.2,0.409724856,-4559.861002109633,7.10145,5.240833906,0.029132547,0.409724856,1.711072776,13801.2,2.5164592539999995,20297.3,17.145274790799
158_86_580_88_158_13051,-8.04,-6.47,-3.31,-2.98,1.5699999999999994,0.33000000000000007,12191.6,0.333916518,-2692.559553322544,3.33022,4.562569956999999,0.005277928,0.333916518,1.511514568,12191.6,2.12780675,17162.5,16.126205333025993
158_158_580_158_158_11011,-8.46,-6.96,-3.71,-3.53,1.5000000000000009,0.18000000000000016,10516.2,0.146850898,-2837.382459386162,3.76008,5.4541554770000005,0.146850898,0.439416068,1.3037984759999999,10516.2,1.5927338659999999,12846.7,17.056068594066005
260_175_580_32_260_13051,-7.69,-6.48,-3.13,-2.82,1.21,0.31000000000000005,13118.1,1.042807507,-4902.738347169276,7.82307,5.559586566,1.042807507,1.042807507,1.6263820379999998,13118.1,1.6263820379999998,13118.1,15.967297203619
