index,SMILES,new name,old name,homo,lumo,bandgap,
106,c1sc(c2c1sc(=O)c(=O)s2),56,546,-6.858085374,-2.782636235,4.075449139,
107,c1oc(c(c1C#N)C#N),690,554,-7.881886525,-1.79725756,6.084628965,
108,c1sc(c2c1C(=O)CC2=O)C=C,46,556,-6.666000207,-2.482821195,4.183179012,
109,c1sc(c2c1C[C@H](N(=O)=O)[C@@H](N(=O)=O)C2),155,569,-6.756151526,-2.470984242,4.285167284,
110,c1sc(c2c1cc(C#N)c(C#N)c2),745,571,-6.700994048,-2.909822249,3.791171799,
111,c1oc(cc1C#N),701,573,-7.201384208,-1.127367683,6.074016525,
112,C1=CC=C(S1(=O)=O),906,575,-7.404816523,-2.613490266,4.791326257,
113,c(s1)c2c(=O)n(C)c(=O)c2c1C=C,53,579,-6.711497643,-2.246653584,4.464844059,
114,c1sc(c2c1cc(N(=O)=O)c(N(=O)=O)c2),89,582,-6.885840987,-3.039947092,3.845893895,
115,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N)C=C,279,591,-6.706572382,-4.100320345,2.606252037,
116,c1c(ncc2c1non2),805,593,-7.596303039,-3.130914752,4.465388287,
117,C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1),402,603,-6.627496097,-1.454693433,5.172802664,
118,c1scc(C(=O)OC)c1,605,604,-6.872589042,-1.247995753,5.624593289,
119,c1sc(nn1)C=C,144,607,-7.051177362,-1.911953548,5.139223814,
120,c1scc2c1C=C(C2=O),459,620,-6.603849404,-2.424697676,4.179151728,
121,c1oc(c(c1)N(=O)=O),207,627,-7.454096341,-2.437078856,5.017017485,
122,c1sc(c2c1oc(N(=O)=O)c2),800,631,-6.719089619,-2.909522924,3.809566696,
123,c1oc(cc1C(=O)O),344,636,-7.167750936,-1.239859548,5.927891388,
124,C(C(=O)1)C(=O)C1,100,648,-6.936018781,-1.797284771,5.13873401,
125,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)C=C,95,651,-6.67549698,-1.848224484,4.827272496,
126,c1sc(c(c1)C=O),206,655,-7.098634018,-1.712466884,5.386167134,
127,c1sc(c2c1C(=O)OC2=O)C=C,201,667,-7.018306009,-2.641953375,4.376352634,
128,c1sc(c2c1[C@H](C#N)CC[C@H]2C#N),401,673,-7.102253132,-1.299125945,5.803127187,
129,c1sc(c(c1C#N)C#N),434,675,-7.892335697,-2.235034322,5.657301375,
130,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O),217,677,-8.750310668,-4.082007083,4.668303585,
131,c1c(ncc2c1non2)C=C,540,700,-6.922766836,-3.05483172,3.867935116,
132,c1sc(c(c1)N(=O)=O)C=C,657,709,-6.741593435,-2.634388609,4.107204826,
133,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F),333,710,-7.297630877,-1.39588963,5.901741247,
134,c1sc(nn1),399,716,-7.37333295,-1.406393225,5.966939725,
135,c1sc(c2c1oc(=O)o2),473,717,-7.042741833,-1.212865854,5.829875979,
136,c1sc(N(=O)=O)cc1,645,736,-7.549091286,-2.727206644,4.821884642,
137,c1sc(c(c1O)C#N),334,747,-6.658326596,-1.634968859,5.023357737,
138,c1sc(c2c1[C@H](F)CC[C@H]2F),513,765,-6.680367818,-0.886002697,5.794365121,
139,c1sc(c2c1oc(=S)o2),775,770,-6.642571205,-1.725609983,4.916961222,
140,c1sc(c2c1CCC[C@H]2N(=O)=O),163,771,-6.664558004,-1.725718828,4.938839176,
141,c1sc(C(=O)OC)cc1,771,789,-6.874738742,-1.569307787,5.305430955,
142,n1c(C)c2c(c1=O)c(C)n(c2=O),833,790,-6.73049119,-2.126896278,4.603594911,
143,c1sc(C(=O)O)c(c1),684,792,-7.205030534,-1.851952444,5.35307809,
144,c1sc(c2c1C(=O)OC2=O),273,813,-7.915492586,-2.300722606,5.61476998,
145,c1sc(C(=O)O)c(c1)C=C,517,815,-6.649836644,-2.080664135,4.569172509,
146,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2OC),427,824,-6.675388135,-0.778381669,5.897006466,
147,c1oc(cc1C(=O)C(F)(F)F),446,825,-7.307100439,-2.197319343,5.109781096,
148,c1oc(cc1C(=O)OC),548,830,-6.766546275,-0.931418499,5.835127776,
149,c1oc(c(c1C#N)C(F)(F)F)C=C,167,833,-7.01713592,-2.051792856,4.965343064,
150,c1sc(c(n1)C(=O)OC)C=C,507,835,-6.63756431,-2.092365031,4.545199279,
151,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O)C=C,197,837,-7.668685323,-3.949895808,3.718789515,
152,c1sc(c(c1C#N)C#N)C=C,120,842,-7.112484613,-2.611912005,4.500572608,
153,c1oc(nc1),202,844,-7.076973755,-0.265474273,6.811499482,
154,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O),293,849,-7.159750789,-2.689029071,4.470721718,
155,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2),759,881,-6.577563206,-2.67251176,3.905051446,
156,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C#N)C2),441,886,-6.614162519,-0.812450323,5.801712196,
157,c1cc2c(C(=O)N(C2=O)CC)cc1,73,890,-7.39632657,-2.356614791,5.03971178,
158,c1nc2c(c(=O)c3c2ncc3)c1,541,894,-7.362067437,-4.084619376,3.277448061,
159,c1sc(C=O)c(c1)C=C,256,904,-6.560637724,-2.256912276,4.303725448,
160,c1cscc1C(=O)OC=C,267,906,-6.909705372,-1.564545795,5.345159577,
161,c1scc(n1),862,907,-7.032347084,-0.922275473,6.110071611,
162,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O)C=C,529,908,-7.823191568,-3.998794667,3.824396901,
163,c1oc(c(c1N(=O)=O)N(=O)=O)C=C,440,914,-7.394421773,-3.115213783,4.27920799,
164,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2),356,918,-6.988972136,-1.194198844,5.794773292,
165,c1ccc(c2c1nc(CC)c(CC)n2),618,924,-6.574270628,-1.881721699,4.692548929,
166,c1sc(c(c1)C(=O)C),296,927,-6.918657917,-1.546749549,5.371908368,
167,c1oc2c(n1)cc1c(c2)oc(n1),101,931,-6.81340428,-1.484027306,5.329376974,
168,c1c2c(=O)n(c(=O)c2cc2c1c(=O)sc2=O)C=C,633,936,-7.162499139,-3.793076596,3.369422543,
169,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1,251,937,-7.621636839,-0.145472064,7.476164775,
170,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1),149,939,-6.815254654,-1.854401468,4.960853186,
171,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O)C=C,602,949,-6.609182835,-2.191360049,4.417822786,
172,c1c2c(=O)n(c(=O)c2cc2c1c(=O)oc2=O)C=C,570,964,-7.259670995,-3.807253728,3.452417267,
173,N1C(=O)C=C(C1=O),78,965,-7.62283414,-2.875372635,4.747461504,
174,C1C(=O)O[C@H]2[C@@H]1CC[C@H]1[C@@H]2OC(=O)C1,198,969,-7.621636839,-0.144818991,7.476817847,
175,c1cc(N(=O)=O)c(cc1)C=C,345,975,-6.973407224,-2.504046075,4.469361149,
176,C1=C(Cc2c(C1)nsn2),243,979,-6.881405531,-1.492462836,5.388942695,
177,C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=C,742,983,-6.635088074,-1.461387434,5.17370064,
178,C#CC#CC=C,447,985,-6.578216279,-1.73575983,4.842456449,
179,c1sc(c2c1oc(=O)c(=O)o2),187,987,-7.288215738,-2.5043454,4.783870337,
180,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377,5.519040328,
181,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056,5.180095315,
182,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856,4.386366425,
183,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476,3.363735363,
